,Rank,Features,Accuracy,Precision,Recall,F1 score,Algorithm,Learning_rate,N_estimators
0,1,a,nan,nan,nan,nan,SAMME,0.2,0
1,2,a,1.000,0.923,0.977,0.948,SAMME,0.2,1500
2,3,a,1.000,0.923,0.977,0.948,SAMME,0.2,1520
3,4,a,1.000,0.923,0.977,0.948,SAMME,0.2,1540
4,5,a,1.000,0.923,0.977,0.948,SAMME,0.2,1560
5,6,a,1.000,0.923,0.977,0.948,SAMME,0.2,1580
6,7,a,1.000,0.923,0.977,0.948,SAMME,0.2,1600
7,8,a,1.000,0.923,0.977,0.948,SAMME,0.2,1620
8,9,a,1.000,0.923,0.977,0.948,SAMME,0.2,1640
9,10,a,1.000,0.923,0.977,0.948,SAMME,0.2,1660
10,11,a,1.000,0.923,0.977,0.948,SAMME,0.2,1680
11,12,a,1.000,0.923,0.977,0.948,SAMME,0.2,1700
12,13,a,1.000,0.923,0.977,0.948,SAMME,0.2,1720
13,14,a,1.000,0.923,0.977,0.948,SAMME,0.2,1740
14,15,a,1.000,0.923,0.977,0.948,SAMME,0.2,1760
15,16,a,1.000,0.923,0.977,0.948,SAMME,0.2,1780
16,17,a,1.000,0.923,0.977,0.948,SAMME,0.2,1800
17,18,a,1.000,0.923,0.977,0.948,SAMME,0.2,1820
18,19,a,1.000,0.923,0.977,0.948,SAMME,0.2,1840
19,20,a,1.000,0.923,0.977,0.948,SAMME,0.2,1860
20,21,a,1.000,0.923,0.977,0.948,SAMME,0.2,1880
21,22,a,1.000,0.923,0.977,0.948,SAMME,0.2,1900
22,23,a,1.000,0.923,0.977,0.948,SAMME,0.2,1920
23,24,a,1.000,0.923,0.977,0.948,SAMME,0.2,1940
24,25,a,1.000,0.923,0.977,0.948,SAMME,0.2,1960
25,26,a,1.000,0.923,0.977,0.948,SAMME,0.2,1980
26,27,a,1.000,0.923,0.970,0.944,SAMME,0.2,1460
27,28,a,1.000,0.923,0.970,0.944,SAMME,0.2,1480
28,29,a,1.000,0.922,0.962,0.940,SAMME,0.2,460
29,30,a,1.000,0.922,0.962,0.940,SAMME,0.2,480
30,31,a,1.000,0.922,0.962,0.940,SAMME,0.2,500
31,32,a,1.000,0.922,0.962,0.940,SAMME,0.2,520
32,33,a,1.000,0.922,0.962,0.940,SAMME,0.2,1300
33,34,a,1.000,0.922,0.962,0.940,SAMME,0.2,1320
34,35,a,1.000,0.922,0.962,0.940,SAMME,0.2,1340
35,36,a,1.000,0.922,0.962,0.940,SAMME,0.2,1360
36,37,a,1.000,0.922,0.962,0.940,SAMME,0.2,1380
37,38,a,1.000,0.922,0.962,0.940,SAMME,0.2,1400
38,39,a,1.000,0.922,0.962,0.940,SAMME,0.2,1420
39,40,a,1.000,0.922,0.962,0.940,SAMME,0.2,1440
40,41,a,1.000,0.916,0.962,0.937,SAMME,0.2,220
41,42,a,1.000,0.916,0.962,0.937,SAMME,0.2,240
42,43,a,1.000,0.916,0.962,0.937,SAMME,0.2,260
43,44,a,1.000,0.916,0.962,0.937,SAMME,0.2,280
44,45,a,1.000,0.916,0.962,0.937,SAMME,0.2,300
45,46,a,1.000,0.916,0.962,0.937,SAMME,0.2,320
46,47,a,1.000,0.916,0.962,0.937,SAMME,0.2,340
47,48,a,1.000,0.916,0.962,0.937,SAMME,0.2,360
48,49,a,1.000,0.916,0.962,0.937,SAMME,0.2,380
49,50,a,1.000,0.916,0.962,0.937,SAMME,0.2,400
50,51,a,1.000,0.916,0.962,0.937,SAMME,0.2,420
51,52,a,1.000,0.916,0.962,0.937,SAMME,0.2,440
52,53,a,1.000,0.922,0.954,0.936,SAMME,0.2,540
53,54,a,1.000,0.922,0.954,0.936,SAMME,0.2,560
54,55,a,1.000,0.922,0.954,0.936,SAMME,0.2,580
55,56,a,1.000,0.922,0.954,0.936,SAMME,0.2,600
56,57,a,1.000,0.922,0.954,0.936,SAMME,0.2,620
57,58,a,1.000,0.922,0.954,0.936,SAMME,0.2,640
58,59,a,1.000,0.922,0.954,0.936,SAMME,0.2,660
59,60,a,1.000,0.922,0.954,0.936,SAMME,0.2,680
60,61,a,1.000,0.922,0.954,0.936,SAMME,0.2,700
61,62,a,1.000,0.922,0.954,0.936,SAMME,0.2,720
62,63,a,1.000,0.922,0.954,0.936,SAMME,0.2,740
63,64,a,1.000,0.922,0.954,0.936,SAMME,0.2,760
64,65,a,1.000,0.922,0.954,0.936,SAMME,0.2,780
65,66,a,1.000,0.922,0.954,0.936,SAMME,0.2,800
