Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
2225,1,2224,47358,91,47267,Ada,"a, e, sinI",89,46,47221,2,0.999,0.659,0.978,0.788
2357,2,2355,47358,91,47267,Ada,"a, e, sinI",89,46,47221,2,0.999,0.659,0.978,0.788
2507,3,2504,47358,91,47267,Ada,"a, e, sinI",89,46,47221,2,0.999,0.659,0.978,0.788
2904,4,2900,47358,91,47267,Ada,"a, e, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3132,5,3127,47358,91,47267,Ada,"a, e, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3508,6,3502,47358,91,47267,Ada,"a, e, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3523,7,3516,47358,91,47267,Ada,"a, e, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3540,8,3532,47358,91,47267,Ada,"a, e, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3661,9,3652,47358,91,47267,Ada,"a, e, sinI",89,40,47227,2,0.999,0.69,0.978,0.809
4437,10,4427,47358,91,47267,Ada,"a, e, sinI",89,40,47227,2,0.999,0.69,0.978,0.809
4860,11,4849,47358,91,47267,Ada,"a, e, sinI",89,37,47230,2,0.999,0.706,0.978,0.82
5008,12,4996,47358,91,47267,Ada,"a, e, sinI",89,37,47230,2,0.999,0.706,0.978,0.82
5392,13,5379,47358,91,47267,Ada,"a, e, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
5784,14,5770,47358,91,47267,Ada,"a, e, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
5808,15,5793,47358,91,47267,Ada,"a, e, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
6526,16,6510,47358,91,47267,Ada,"a, e, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
6703,17,6686,47358,91,47267,Ada,"a, e, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
7359,18,7341,47358,91,47267,Ada,"a, e, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
7561,19,7542,47358,91,47267,Ada,"a, e, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
7680,20,7660,47358,91,47267,Ada,"a, e, sinI",89,29,47238,2,0.999,0.754,0.978,0.852
8270,21,8249,47358,91,47267,Ada,"a, e, sinI",89,29,47238,2,0.999,0.754,0.978,0.852
9240,22,9218,47358,91,47267,Ada,"a, e, sinI",89,29,47238,2,0.999,0.754,0.978,0.852
9454,23,9431,47358,91,47267,Ada,"a, e, sinI",89,29,47238,2,0.999,0.754,0.978,0.852
9533,24,9509,47358,91,47267,Ada,"a, e, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
9652,25,9627,47358,91,47267,Ada,"a, e, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
9800,26,9774,47358,91,47267,Ada,"a, e, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
10119,27,10092,47358,91,47267,Ada,"a, e, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
10421,28,10393,47358,91,47267,Ada,"a, e, sinI",87,26,47241,4,0.999,0.77,0.956,0.853
10658,29,10629,47358,91,47267,Ada,"a, e, sinI",88,26,47241,3,0.999,0.772,0.967,0.859
11461,30,11431,47358,91,47267,Ada,"a, e, sinI",84,16,47251,7,1.0,0.84,0.923,0.88
