,Rank,Features,Accuracy,Precision,Recall,F1 score,Class_weight,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,n,0.995,0.406,1.000,0.572,balanced,,sqrt,2,6
1,2,n,0.995,0.406,1.000,0.572,balanced,,sqrt,3,6
2,3,n,0.995,0.406,1.000,0.572,balanced,,sqrt,4,6
3,4,n,0.995,0.406,1.000,0.572,balanced,,sqrt,5,6
4,5,n,0.995,0.406,1.000,0.572,balanced,3.0,sqrt,2,6
5,6,n,0.995,0.406,1.000,0.572,balanced,3.0,sqrt,3,6
6,7,n,0.995,0.406,1.000,0.572,balanced,3.0,sqrt,4,6
7,8,n,0.995,0.406,1.000,0.572,balanced,3.0,sqrt,5,6
8,9,"a, n",0.995,0.406,1.000,0.572,balanced,,sqrt,2,6
9,10,"a, n",0.995,0.406,1.000,0.572,balanced,,sqrt,3,6
10,11,"a, n",0.995,0.406,1.000,0.572,balanced,,sqrt,4,6
11,12,"a, n",0.995,0.406,1.000,0.572,balanced,,sqrt,5,6
12,13,"a, n",0.995,0.406,1.000,0.572,balanced,3.0,sqrt,2,6
13,14,"a, n",0.995,0.406,1.000,0.572,balanced,3.0,sqrt,3,6
14,15,"a, n",0.995,0.406,1.000,0.572,balanced,3.0,sqrt,4,6
15,16,"a, n",0.995,0.406,1.000,0.572,balanced,3.0,sqrt,5,6
16,17,a,0.995,0.405,1.000,0.571,balanced,,sqrt,2,6
17,18,a,0.995,0.405,1.000,0.571,balanced,,sqrt,3,6
18,19,a,0.995,0.405,1.000,0.571,balanced,,sqrt,4,6
19,20,a,0.995,0.405,1.000,0.571,balanced,,sqrt,5,6
20,21,a,0.995,0.405,1.000,0.571,balanced,3.0,sqrt,2,6
21,22,a,0.995,0.405,1.000,0.571,balanced,3.0,sqrt,3,6
22,23,a,0.995,0.405,1.000,0.571,balanced,3.0,sqrt,4,6
23,24,a,0.995,0.405,1.000,0.571,balanced,3.0,sqrt,5,6
24,25,"a, e, n",0.994,0.402,0.985,0.563,balanced,,sqrt,2,6
25,26,"a, e, n",0.994,0.402,0.985,0.563,balanced,,sqrt,3,6
26,27,"a, e, n",0.994,0.402,0.985,0.563,balanced,,sqrt,4,6
27,28,"a, e, n",0.994,0.402,0.985,0.563,balanced,,sqrt,5,6
28,29,"a, e, sinI, n",0.994,0.395,1.000,0.559,balanced,,sqrt,2,6
29,30,"a, e, sinI, n",0.994,0.395,1.000,0.559,balanced,,sqrt,3,6
30,31,"a, e, sinI, n",0.994,0.395,1.000,0.559,balanced,,sqrt,4,6
31,32,"a, e, sinI, n",0.994,0.395,1.000,0.559,balanced,,sqrt,5,6
32,33,"a, e, n",0.994,0.392,0.985,0.550,balanced,3.0,sqrt,2,6
33,34,"a, e, n",0.994,0.392,0.985,0.550,balanced,3.0,sqrt,3,6
34,35,"a, e, n",0.994,0.392,0.985,0.550,balanced,3.0,sqrt,4,6
35,36,"a, e, n",0.994,0.392,0.985,0.550,balanced,3.0,sqrt,5,6
36,37,"a, e, sinI, n",0.994,0.379,1.000,0.542,balanced,3.0,sqrt,2,6
37,38,"a, e, sinI, n",0.994,0.379,1.000,0.542,balanced,3.0,sqrt,3,6
38,39,"a, e, sinI, n",0.994,0.379,1.000,0.542,balanced,3.0,sqrt,4,6
39,40,"a, e, sinI, n",0.994,0.379,1.000,0.542,balanced,3.0,sqrt,5,6
40,41,"a, sinI, n",0.993,0.347,0.993,0.510,balanced,,sqrt,2,6
41,42,"a, sinI, n",0.993,0.347,0.993,0.510,balanced,,sqrt,3,6
42,43,"a, sinI, n",0.993,0.347,0.993,0.510,balanced,,sqrt,4,6
43,44,"a, sinI, n",0.993,0.347,0.993,0.510,balanced,,sqrt,5,6
44,45,"sinI, n",0.993,0.346,0.992,0.508,balanced,,sqrt,2,6
45,46,"sinI, n",0.993,0.341,0.992,0.501,balanced,,sqrt,3,6
46,47,"sinI, n",0.993,0.338,0.992,0.498,balanced,,sqrt,4,6
47,48,"sinI, n",0.993,0.334,0.992,0.493,balanced,,sqrt,5,6
48,49,"a, e",0.992,0.334,0.985,0.487,balanced,,sqrt,5,6
49,50,"e, n",0.993,0.323,0.977,0.483,balanced,,sqrt,2,2
50,51,"e, n",0.993,0.323,0.977,0.483,balanced,,sqrt,3,2
51,52,"e, n",0.993,0.323,0.977,0.483,balanced,,sqrt,4,2
52,53,"e, n",0.993,0.323,0.977,0.483,balanced,,sqrt,5,2
53,54,"e, n",0.993,0.323,0.977,0.483,balanced,3.0,sqrt,2,2
54,55,"e, n",0.993,0.323,0.977,0.483,balanced,3.0,sqrt,3,2
55,56,"e, n",0.993,0.323,0.977,0.483,balanced,3.0,sqrt,4,2
56,57,"e, n",0.993,0.323,0.977,0.483,balanced,3.0,sqrt,5,2
57,58,n,0.992,0.313,1.000,0.473,balanced,,sqrt,2,2
58,59,n,0.992,0.313,1.000,0.473,balanced,,sqrt,3,2
59,60,n,0.992,0.313,1.000,0.473,balanced,,sqrt,4,2
60,61,n,0.992,0.313,1.000,0.473,balanced,,sqrt,5,2
61,62,n,0.992,0.313,1.000,0.473,balanced,3.0,sqrt,2,2
62,63,n,0.992,0.313,1.000,0.473,balanced,3.0,sqrt,3,2
63,64,n,0.992,0.313,1.000,0.473,balanced,3.0,sqrt,4,2
64,65,n,0.992,0.313,1.000,0.473,balanced,3.0,sqrt,5,2
65,66,a,0.992,0.312,1.000,0.473,balanced,,sqrt,2,2
66,67,a,0.992,0.312,1.000,0.473,balanced,,sqrt,3,2
67,68,a,0.992,0.312,1.000,0.473,balanced,,sqrt,4,2
68,69,a,0.992,0.312,1.000,0.473,balanced,,sqrt,5,2
69,70,a,0.992,0.312,1.000,0.473,balanced,3.0,sqrt,2,2
70,71,a,0.992,0.312,1.000,0.473,balanced,3.0,sqrt,3,2
71,72,a,0.992,0.312,1.000,0.473,balanced,3.0,sqrt,4,2
72,73,a,0.992,0.312,1.000,0.473,balanced,3.0,sqrt,5,2
73,74,"a, n",0.992,0.312,1.000,0.473,balanced,,sqrt,2,2
74,75,"a, n",0.992,0.312,1.000,0.473,balanced,,sqrt,3,2
75,76,"a, n",0.992,0.312,1.000,0.473,balanced,,sqrt,4,2
76,77,"a, n",0.992,0.312,1.000,0.473,balanced,,sqrt,5,2
77,78,"a, n",0.992,0.312,1.000,0.473,balanced,3.0,sqrt,2,2
