,Rank,Recall,F1 score,Features,Criterion,Max_depth,Min_samples_split
0,1,0.970,0.956,n,gini,2,2
1,2,0.970,0.956,n,gini,2,3
2,3,0.970,0.956,n,gini,2,4
3,4,0.970,0.956,n,gini,2,5
4,5,0.970,0.956,n,gini,2,6
5,6,0.970,0.956,n,gini,2,7
6,7,0.970,0.956,n,gini,2,8
7,8,0.970,0.956,n,gini,2,9
8,9,0.970,0.956,n,gini,2,10
9,10,0.970,0.956,n,gini,2,11
10,11,0.970,0.956,n,gini,2,12
11,12,0.970,0.956,n,gini,2,13
12,13,0.970,0.956,n,gini,2,14
13,14,0.970,0.956,n,gini,2,15
14,15,0.970,0.956,n,gini,2,16
15,16,0.970,0.956,n,gini,2,17
16,17,0.970,0.956,n,gini,2,18
17,18,0.970,0.956,n,gini,2,19
18,19,0.970,0.956,n,gini,2,20
19,20,0.970,0.956,n,gini,2,21
20,21,0.970,0.956,n,gini,2,22
21,22,0.970,0.956,n,gini,2,23
22,23,0.970,0.956,n,gini,2,24
23,24,0.970,0.956,n,gini,2,25
24,25,0.970,0.956,n,gini,2,26
25,26,0.970,0.956,n,gini,2,27
26,27,0.970,0.956,n,gini,2,28
27,28,0.970,0.956,n,gini,2,29
28,29,0.970,0.956,n,gini,2,30
29,30,0.970,0.956,n,gini,4,2
30,31,0.970,0.956,n,gini,4,3
31,32,0.970,0.956,n,gini,4,4
32,33,0.970,0.956,n,gini,4,5
33,34,0.970,0.956,n,gini,4,6
34,35,0.970,0.956,"a, n, sinI",gini,2,2
35,36,0.970,0.956,"a, n, sinI",gini,2,3
36,37,0.970,0.956,"a, n, sinI",gini,2,4
37,38,0.970,0.956,"a, n, sinI",gini,2,5
38,39,0.970,0.956,"a, n, sinI",gini,2,6
39,40,0.970,0.956,"a, n, sinI",gini,2,7
40,41,0.970,0.956,"a, n, sinI",gini,2,8
41,42,0.970,0.956,"a, n, sinI",gini,2,9
42,43,0.970,0.956,"a, n, sinI",gini,2,10
43,44,0.970,0.956,"a, n, sinI",gini,2,11
44,45,0.970,0.956,"a, n, sinI",gini,2,12
45,46,0.970,0.956,"a, n, sinI",gini,2,13
46,47,0.970,0.956,"a, n, sinI",gini,2,14
47,48,0.970,0.956,"a, n, sinI",gini,2,15
48,49,0.970,0.956,"a, n, sinI",gini,2,16
49,50,0.970,0.956,"a, n, sinI",gini,2,17
50,51,0.970,0.956,"a, n, sinI",gini,2,18
51,52,0.970,0.956,"a, n, sinI",gini,2,19
52,53,0.970,0.956,"a, n, sinI",gini,2,20
53,54,0.970,0.956,"a, n, sinI",gini,2,21
54,55,0.970,0.956,"a, n, sinI",gini,2,22
55,56,0.970,0.956,"a, n, sinI",gini,2,23
56,57,0.970,0.956,"a, n, sinI",gini,2,24
57,58,0.970,0.956,"a, n, sinI",gini,2,25
58,59,0.970,0.956,"a, n, sinI",gini,2,26
59,60,0.970,0.956,"a, n, sinI",gini,2,27
60,61,0.970,0.956,"a, n, sinI",gini,2,28
61,62,0.970,0.956,"a, n, sinI",gini,2,29
62,63,0.970,0.956,"a, n, sinI",gini,2,30
63,64,0.955,0.954,"a, n, sinI",gini,6,2
64,65,0.955,0.954,"a, n, sinI",gini,6,3
65,66,0.955,0.954,"a, n, sinI",gini,6,4
66,67,0.955,0.954,"a, n, sinI",gini,6,5
67,68,0.955,0.954,"a, n, sinI",gini,7,5
68,69,0.955,0.954,"a, n, sinI",gini,8,5
69,70,0.955,0.954,"a, n, sinI",gini,9,5
70,71,0.955,0.954,"a, n, sinI",gini,10,5
71,72,0.955,0.954,"a, n, sinI",gini,11,5
72,73,0.955,0.954,"a, n, sinI",gini,12,5
73,74,0.955,0.954,"a, n, sinI",gini,13,5
74,75,0.955,0.954,"a, n, sinI",gini,14,5
75,76,0.955,0.954,"a, n, sinI",gini,15,5
76,77,0.955,0.954,"a, n, sinI",gini,16,5
77,78,0.955,0.954,"a, n, sinI",gini,17,5
78,79,0.955,0.954,"a, n, sinI",gini,18,5
79,80,0.955,0.954,"a, n, sinI",gini,19,5
80,81,0.955,0.954,"a, n, sinI",gini,20,5
81,82,0.955,0.954,"a, n, sinI",gini,21,5
82,83,0.955,0.954,"a, n, sinI",gini,22,5
83,84,0.955,0.954,"a, n, sinI",gini,23,5
84,85,0.955,0.954,"a, n, sinI",gini,24,5
85,86,0.955,0.954,"a, n, sinI",gini,25,5
86,87,0.955,0.954,"a, n, sinI",gini,26,5
87,88,0.955,0.954,"a, n, sinI",gini,27,5
88,89,0.955,0.954,"a, n, sinI",gini,28,5
89,90,0.955,0.954,"a, n, sinI",gini,29,5
90,91,0.955,0.954,"a, n, sinI",gini,30,5
91,92,0.955,0.954,"a, n, sinI",gini,31,5
92,93,0.955,0.954,"a, n, sinI",gini,32,5
93,94,0.955,0.954,"a, n, sinI",gini,33,5
94,95,0.955,0.954,"a, n, sinI",gini,34,5
95,96,0.955,0.954,"a, n, sinI",gini,35,5
96,97,0.955,0.954,"a, n, sinI",gini,36,5
