Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
99,50,49,47358,91,47267,"kNN, d=1",a,90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1",e,88,37428,9839,3,0.21,0.002,0.967,0.005
99,50,49,47358,91,47267,"kNN, d=1",sinI,91,46516,751,0,0.018,0.002,1.0,0.004
99,50,49,47358,91,47267,"kNN, d=1",n,90,11528,35739,1,0.757,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","a, e",90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","a, sinI",90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","a, n",90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","e, sinI",88,37428,9839,3,0.21,0.002,0.967,0.005
99,50,49,47358,91,47267,"kNN, d=1","e, n",90,11528,35739,1,0.757,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","sinI, n",90,11528,35739,1,0.757,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","a, e, sinI",90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","a, e, n",90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","a, sinI, n",90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","e, sinI, n",90,11528,35739,1,0.757,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=1","a, e, sinI, n",90,11531,35736,1,0.756,0.008,0.989,0.015
99,50,49,47358,91,47267,"kNN, d=5",a,90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=5",e,77,32026,15241,14,0.323,0.002,0.846,0.005
99,50,49,47358,91,47267,"kNN, d=5",sinI,90,44528,2739,1,0.06,0.002,0.989,0.004
99,50,49,47358,91,47267,"kNN, d=5",n,90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=5","a, e",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=5","a, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=5","a, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=5","e, sinI",88,35758,11509,3,0.245,0.002,0.967,0.005
99,50,49,47358,91,47267,"kNN, d=5","e, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=5","sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=5","a, e, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=5","a, e, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=5","a, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=5","e, sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=5","a, e, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=9",a,90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=9",e,53,22257,25010,38,0.529,0.002,0.582,0.005
99,50,49,47358,91,47267,"kNN, d=9",sinI,75,29231,18036,16,0.382,0.003,0.824,0.005
99,50,49,47358,91,47267,"kNN, d=9",n,90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=9","a, e",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=9","a, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=9","a, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=9","e, sinI",67,19760,27507,24,0.582,0.003,0.736,0.007
99,50,49,47358,91,47267,"kNN, d=9","e, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=9","sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=9","a, e, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=9","a, e, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=9","a, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=9","e, sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=9","a, e, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=13",a,90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=13",e,46,18259,29008,45,0.613,0.003,0.505,0.005
99,50,49,47358,91,47267,"kNN, d=13",sinI,58,21920,25347,33,0.536,0.003,0.637,0.005
99,50,49,47358,91,47267,"kNN, d=13",n,90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=13","a, e",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=13","a, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=13","a, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=13","e, sinI",51,14216,33051,40,0.699,0.004,0.56,0.007
99,50,49,47358,91,47267,"kNN, d=13","e, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=13","sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=13","a, e, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=13","a, e, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=13","a, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=13","e, sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=13","a, e, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=17",a,90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=17",e,46,18259,29008,45,0.613,0.003,0.505,0.005
99,50,49,47358,91,47267,"kNN, d=17",sinI,53,21060,26207,38,0.554,0.003,0.582,0.005
99,50,49,47358,91,47267,"kNN, d=17",n,90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=17","a, e",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=17","a, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=17","a, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=17","e, sinI",46,14424,32843,45,0.694,0.003,0.505,0.006
99,50,49,47358,91,47267,"kNN, d=17","e, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=17","sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=17","a, e, sinI",90,397,46870,1,0.992,0.185,0.989,0.311
99,50,49,47358,91,47267,"kNN, d=17","a, e, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=17","a, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
99,50,49,47358,91,47267,"kNN, d=17","e, sinI, n",90,390,46877,1,0.992,0.188,0.989,0.315
99,50,49,47358,91,47267,"kNN, d=17","a, e, sinI, n",90,393,46874,1,0.992,0.186,0.989,0.314
16330,50,16280,47358,91,47267,"kNN, d=1",a,89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1",e,40,15459,31808,51,0.672,0.003,0.44,0.005
16330,50,16280,47358,91,47267,"kNN, d=1",sinI,80,25463,21804,11,0.462,0.003,0.879,0.006
16330,50,16280,47358,91,47267,"kNN, d=1",n,89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","a, e",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","a, sinI",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","a, n",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","e, sinI",40,15459,31808,51,0.672,0.003,0.44,0.005
16330,50,16280,47358,91,47267,"kNN, d=1","e, n",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","sinI, n",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","a, e, sinI",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","a, e, n",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","a, sinI, n",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","e, sinI, n",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=1","a, e, sinI, n",89,11504,35763,2,0.757,0.008,0.978,0.015
16330,50,16280,47358,91,47267,"kNN, d=5",a,86,32,47235,5,0.999,0.729,0.945,0.823
16330,50,16280,47358,91,47267,"kNN, d=5",e,28,12024,35243,63,0.745,0.002,0.308,0.005
16330,50,16280,47358,91,47267,"kNN, d=5",sinI,54,16876,30391,37,0.643,0.003,0.593,0.006
16330,50,16280,47358,91,47267,"kNN, d=5",n,85,19,47248,6,0.999,0.817,0.934,0.872
16330,50,16280,47358,91,47267,"kNN, d=5","a, e",85,22,47245,6,0.999,0.794,0.934,0.859
16330,50,16280,47358,91,47267,"kNN, d=5","a, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
16330,50,16280,47358,91,47267,"kNN, d=5","a, n",85,31,47236,6,0.999,0.733,0.934,0.821
16330,50,16280,47358,91,47267,"kNN, d=5","e, sinI",43,12683,34584,48,0.731,0.003,0.473,0.007
16330,50,16280,47358,91,47267,"kNN, d=5","e, n",85,13,47254,6,1.0,0.867,0.934,0.899
16330,50,16280,47358,91,47267,"kNN, d=5","sinI, n",88,22,47245,3,0.999,0.8,0.967,0.876
16330,50,16280,47358,91,47267,"kNN, d=5","a, e, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
16330,50,16280,47358,91,47267,"kNN, d=5","a, e, n",84,21,47246,7,0.999,0.8,0.923,0.857
16330,50,16280,47358,91,47267,"kNN, d=5","a, sinI, n",87,22,47245,4,0.999,0.798,0.956,0.87
16330,50,16280,47358,91,47267,"kNN, d=5","e, sinI, n",87,23,47244,4,0.999,0.791,0.956,0.866
16330,50,16280,47358,91,47267,"kNN, d=5","a, e, sinI, n",87,32,47235,4,0.999,0.731,0.956,0.829
16330,50,16280,47358,91,47267,"kNN, d=9",a,83,18,47249,8,0.999,0.822,0.912,0.865
