Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
2225,1,2224,47358,99,47259,"DT, s=3","a, n, sinI",97,38,47221,2,0.999,0.719,0.98,0.829
2225,1,2224,47358,99,47259,"DT, s=10","a, n, sinI",97,38,47221,2,0.999,0.719,0.98,0.829
2357,2,2355,47358,99,47259,"DT, s=3","a, n, sinI",97,38,47221,2,0.999,0.719,0.98,0.829
2357,2,2355,47358,99,47259,"DT, s=10","a, n, sinI",97,38,47221,2,0.999,0.719,0.98,0.829
2507,3,2504,47358,99,47259,"DT, s=3","a, n, sinI",97,38,47221,2,0.999,0.719,0.98,0.829
2507,3,2504,47358,99,47259,"DT, s=10","a, n, sinI",97,38,47221,2,0.999,0.719,0.98,0.829
2653,5,2648,47358,99,47259,"DT, s=3","a, n, sinI",97,43,47216,2,0.999,0.693,0.98,0.812
2653,5,2648,47358,99,47259,"DT, s=10","a, n, sinI",97,43,47216,2,0.999,0.693,0.98,0.812
2904,6,2898,47358,99,47259,"DT, s=3","a, n, sinI",97,42,47217,2,0.999,0.698,0.98,0.815
2904,6,2898,47358,99,47259,"DT, s=10","a, n, sinI",97,42,47217,2,0.999,0.698,0.98,0.815
3132,7,3125,47358,99,47259,"DT, s=3","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3132,7,3125,47358,99,47259,"DT, s=10","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3508,8,3500,47358,99,47259,"DT, s=3","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3508,8,3500,47358,99,47259,"DT, s=10","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3523,9,3514,47358,99,47259,"DT, s=3","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3523,9,3514,47358,99,47259,"DT, s=10","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3540,10,3530,47358,99,47259,"DT, s=3","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3540,10,3530,47358,99,47259,"DT, s=10","a, n, sinI",97,27,47232,2,0.999,0.782,0.98,0.87
3661,11,3650,47358,99,47259,"DT, s=3","a, n, sinI",97,28,47231,2,0.999,0.776,0.98,0.866
3661,11,3650,47358,99,47259,"DT, s=10","a, n, sinI",97,28,47231,2,0.999,0.776,0.98,0.866
4437,12,4425,47358,99,47259,"DT, s=3","a, n, sinI",97,28,47231,2,0.999,0.776,0.98,0.866
4437,12,4425,47358,99,47259,"DT, s=10","a, n, sinI",97,28,47231,2,0.999,0.776,0.98,0.866
4860,13,4847,47358,99,47259,"DT, s=3","a, n, sinI",97,26,47233,2,0.999,0.789,0.98,0.874
4860,13,4847,47358,99,47259,"DT, s=10","a, n, sinI",97,26,47233,2,0.999,0.789,0.98,0.874
5009,14,4995,47358,99,47259,"DT, s=3","a, n, sinI",97,26,47233,2,0.999,0.789,0.98,0.874
5009,14,4995,47358,99,47259,"DT, s=10","a, n, sinI",97,26,47233,2,0.999,0.789,0.98,0.874
5392,15,5377,47358,99,47259,"DT, s=3","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
5392,15,5377,47358,99,47259,"DT, s=10","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
5784,16,5768,47358,99,47259,"DT, s=3","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
5784,16,5768,47358,99,47259,"DT, s=10","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
5808,17,5791,47358,99,47259,"DT, s=3","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
5808,17,5791,47358,99,47259,"DT, s=10","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
6526,18,6508,47358,99,47259,"DT, s=3","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
6526,18,6508,47358,99,47259,"DT, s=10","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
6703,19,6684,47358,99,47259,"DT, s=3","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
6703,19,6684,47358,99,47259,"DT, s=10","a, n, sinI",97,24,47235,2,0.999,0.802,0.98,0.882
7359,20,7339,47358,99,47259,"DT, s=3","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
7359,20,7339,47358,99,47259,"DT, s=10","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
7561,21,7540,47358,99,47259,"DT, s=3","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
7561,21,7540,47358,99,47259,"DT, s=10","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
7680,22,7658,47358,99,47259,"DT, s=3","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
7680,22,7658,47358,99,47259,"DT, s=10","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
8270,23,8247,47358,99,47259,"DT, s=3","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
8270,23,8247,47358,99,47259,"DT, s=10","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
9240,24,9216,47358,99,47259,"DT, s=3","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
9240,24,9216,47358,99,47259,"DT, s=10","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
9454,25,9429,47358,99,47259,"DT, s=3","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
9454,25,9429,47358,99,47259,"DT, s=10","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
9500,26,9474,47358,99,47259,"DT, s=3","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
9500,26,9474,47358,99,47259,"DT, s=10","a, n, sinI",96,14,47245,3,1.0,0.873,0.97,0.919
9533,28,9505,47358,99,47259,"DT, s=3","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
9533,28,9505,47358,99,47259,"DT, s=10","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
9652,29,9623,47358,99,47259,"DT, s=3","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
9652,29,9623,47358,99,47259,"DT, s=10","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
9801,30,9771,47358,99,47259,"DT, s=3","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
9801,30,9771,47358,99,47259,"DT, s=10","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
10119,31,10088,47358,99,47259,"DT, s=3","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
10119,31,10088,47358,99,47259,"DT, s=10","a, n, sinI",97,15,47244,2,1.0,0.866,0.98,0.919
10421,32,10389,47358,99,47259,"DT, s=3","a, n, sinI",97,25,47234,2,0.999,0.795,0.98,0.878
