Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
2225,1,2224,94191,202,93989,DT,"a, n, sinI",200,68,93921,2,0.999,0.746,0.99,0.851
2357,2,2355,94191,202,93989,DT,"a, n, sinI",200,68,93921,2,0.999,0.746,0.99,0.851
2507,3,2504,94191,202,93989,DT,"a, n, sinI",200,68,93921,2,0.999,0.746,0.99,0.851
2653,5,2648,94191,202,93989,DT,"a, n, sinI",200,75,93914,2,0.999,0.727,0.99,0.839
2904,6,2898,94191,202,93989,DT,"a, n, sinI",200,74,93915,2,0.999,0.73,0.99,0.84
3132,7,3125,94191,202,93989,DT,"a, n, sinI",200,44,93945,2,1.0,0.82,0.99,0.897
3508,8,3500,94191,202,93989,DT,"a, n, sinI",200,44,93945,2,1.0,0.82,0.99,0.897
3523,9,3514,94191,202,93989,DT,"a, n, sinI",200,44,93945,2,1.0,0.82,0.99,0.897
3540,10,3530,94191,202,93989,DT,"a, n, sinI",200,44,93945,2,1.0,0.82,0.99,0.897
3661,11,3650,94191,202,93989,DT,"a, n, sinI",200,46,93943,2,0.999,0.813,0.99,0.893
4437,12,4425,94191,202,93989,DT,"a, n, sinI",200,46,93943,2,0.999,0.813,0.99,0.893
4860,13,4847,94191,202,93989,DT,"a, n, sinI",200,44,93945,2,1.0,0.82,0.99,0.897
5009,14,4995,94191,202,93989,DT,"a, n, sinI",200,44,93945,2,1.0,0.82,0.99,0.897
5392,15,5377,94191,202,93989,DT,"a, n, sinI",200,41,93948,2,1.0,0.83,0.99,0.903
5784,16,5768,94191,202,93989,DT,"a, n, sinI",200,41,93948,2,1.0,0.83,0.99,0.903
5808,17,5791,94191,202,93989,DT,"a, n, sinI",200,41,93948,2,1.0,0.83,0.99,0.903
6526,18,6508,94191,202,93989,DT,"a, n, sinI",200,41,93948,2,1.0,0.83,0.99,0.903
6703,19,6684,94191,202,93989,DT,"a, n, sinI",200,41,93948,2,1.0,0.83,0.99,0.903
7359,20,7339,94191,202,93989,DT,"a, n, sinI",198,26,93963,4,1.0,0.884,0.98,0.93
7561,21,7540,94191,202,93989,DT,"a, n, sinI",198,26,93963,4,1.0,0.884,0.98,0.93
7680,22,7658,94191,202,93989,DT,"a, n, sinI",198,26,93963,4,1.0,0.884,0.98,0.93
8270,23,8247,94191,202,93989,DT,"a, n, sinI",198,26,93963,4,1.0,0.884,0.98,0.93
9240,24,9216,94191,202,93989,DT,"a, n, sinI",198,26,93963,4,1.0,0.884,0.98,0.93
9454,25,9429,94191,202,93989,DT,"a, n, sinI",198,26,93963,4,1.0,0.884,0.98,0.93
9500,26,9474,94191,202,93989,DT,"a, n, sinI",198,26,93963,4,1.0,0.884,0.98,0.93
9533,28,9505,94191,202,93989,DT,"a, n, sinI",199,28,93961,3,1.0,0.877,0.985,0.928
9652,29,9623,94191,202,93989,DT,"a, n, sinI",199,28,93961,3,1.0,0.877,0.985,0.928
9801,30,9771,94191,202,93989,DT,"a, n, sinI",199,28,93961,3,1.0,0.877,0.985,0.928
10119,31,10088,94191,202,93989,DT,"a, n, sinI",199,28,93961,3,1.0,0.877,0.985,0.928
10421,32,10389,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
10658,33,10625,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
11429,34,11395,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
11461,36,11425,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
11523,37,11486,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
11539,38,11501,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
11655,40,11615,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
11860,41,11819,94191,202,93989,DT,"a, n, sinI",199,43,93946,3,1.0,0.822,0.985,0.896
12016,42,11974,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12068,43,12025,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12307,44,12263,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12323,45,12278,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12345,46,12299,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12443,47,12396,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12472,49,12423,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12922,50,12872,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
12992,51,12941,94191,202,93989,DT,"a, n, sinI",193,14,93975,9,1.0,0.932,0.955,0.944
13510,52,13458,94191,202,93989,DT,"a, n, sinI",193,15,93974,9,1.0,0.928,0.955,0.941
14064,53,14011,94191,202,93989,DT,"a, n, sinI",193,15,93974,9,1.0,0.928,0.955,0.941
14959,54,14905,94191,202,93989,DT,"a, n, sinI",192,12,93977,10,1.0,0.941,0.95,0.946
15336,55,15281,94191,202,93989,DT,"a, n, sinI",192,12,93977,10,1.0,0.941,0.95,0.946
15617,56,15561,94191,202,93989,DT,"a, n, sinI",192,12,93977,10,1.0,0.941,0.95,0.946
15688,57,15631,94191,202,93989,DT,"a, n, sinI",192,12,93977,10,1.0,0.941,0.95,0.946
15985,58,15927,94191,202,93989,DT,"a, n, sinI",190,12,93977,12,1.0,0.941,0.941,0.941
16012,59,15953,94191,202,93989,DT,"a, n, sinI",190,12,93977,12,1.0,0.941,0.941,0.941
16330,60,16270,94191,202,93989,DT,"a, n, sinI",190,12,93977,12,1.0,0.941,0.941,0.941
