Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None",a,86,32,47235,5,0.999,0.729,0.945,0.823
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None",n,85,19,47248,6,0.999,0.817,0.934,0.872
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","a, n",85,30,47237,6,0.999,0.739,0.934,0.825
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","e, n",85,13,47254,6,1.0,0.867,0.934,0.899
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","a, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","a, e",85,22,47245,6,0.999,0.794,0.934,0.859
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","sinI, n",88,22,47245,3,0.999,0.8,0.967,0.876
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","a, e, n",84,21,47246,7,0.999,0.8,0.923,0.857
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","a, e, sinI, n",87,22,47245,4,0.999,0.798,0.956,0.87
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","a, e, sinI",87,22,47245,4,0.999,0.798,0.956,0.87
16330,50,16280,47358,91,47267,"DT, d=5, p=1, w=1, s=2, l=1, f=None","a, n, sinI",87,32,47235,4,0.999,0.731,0.956,0.829
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None",a,86,32,47235,5,0.999,0.729,0.945,0.823
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None",n,87,32,47235,4,0.999,0.731,0.956,0.829
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","a, n",86,30,47237,5,0.999,0.741,0.945,0.831
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","e, n",85,22,47245,6,0.999,0.794,0.934,0.859
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","a, sinI",85,20,47247,6,0.999,0.81,0.934,0.867
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","a, e",84,21,47246,7,0.999,0.8,0.923,0.857
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","sinI, n",86,21,47246,5,0.999,0.804,0.945,0.869
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","a, e, n",75,18,47249,16,0.999,0.806,0.824,0.815
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","a, e, sinI, n",75,18,47249,16,0.999,0.806,0.824,0.815
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","a, e, sinI",82,20,47247,9,0.999,0.804,0.901,0.85
16330,50,16280,47358,91,47267,"DT, d=5, p=2, w=1, s=2, l=1, f=None","a, n, sinI",85,19,47248,6,0.999,0.817,0.934,0.872
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None",a,86,32,47235,5,0.999,0.729,0.945,0.823
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None",n,87,32,47235,4,0.999,0.731,0.956,0.829
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None","a, n",86,30,47237,5,0.999,0.741,0.945,0.831
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None","e, n",85,22,47245,6,0.999,0.794,0.934,0.859
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None","a, sinI",85,20,47247,6,0.999,0.81,0.934,0.867
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None","a, e",82,22,47245,9,0.999,0.788,0.901,0.841
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None","sinI, n",86,21,47246,5,0.999,0.804,0.945,0.869
16330,50,16280,47358,91,47267,"DT, d=5, p=3, w=1, s=2, l=1, f=None","a, e, n",75,18,47249,16,0.999,0.806,0.824,0.815
