,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,83
1,2,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,88
2,3,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,89
3,4,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,90
4,5,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,91
5,6,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,92
6,7,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,93
7,8,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,94
8,9,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,95
9,10,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,96
10,11,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,98
11,12,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,99
12,13,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,100
13,14,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,60
14,15,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,61
15,16,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,62
16,17,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,63
17,18,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,64
18,19,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,65
19,20,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,66
20,21,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,67
21,22,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,68
22,23,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,69
23,24,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,70
24,25,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,71
25,26,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,72
26,27,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,73
27,28,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,74
28,29,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,75
29,30,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,76
30,31,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,77
31,32,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,78
32,33,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,79
33,34,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,80
34,35,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,81
35,36,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,82
36,37,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,84
37,38,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,85
38,39,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,86
39,40,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,87
40,41,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,9,97
41,42,"a, e",1.000,0.955,0.954,0.954,0.1,exponential,5.0,sqrt,9,54
42,43,"a, e",1.000,0.955,0.954,0.954,0.1,exponential,5.0,sqrt,9,55
43,44,"a, e",1.000,0.955,0.954,0.954,0.1,exponential,5.0,sqrt,9,58
44,45,"a, e",1.000,0.955,0.954,0.954,0.1,exponential,5.0,sqrt,9,59
45,46,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,5.0,sqrt,9,50
46,47,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,5.0,sqrt,9,51
47,48,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,71
48,49,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,73
49,50,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,74
50,51,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,75
51,52,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,76
52,53,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,77
53,54,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,78
