,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,53
1,2,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,54
2,3,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,55
3,4,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,56
4,5,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,57
5,6,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,58
6,7,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,59
7,8,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,60
8,9,"a, sinI",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,3,61
9,10,"a, sinI",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,3,62
10,11,"a, sinI",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,3,63
11,12,"a, sinI",1.000,0.948,0.962,0.955,0.1,exponential,5.0,sqrt,3,87
12,13,"a, sinI",1.000,0.948,0.962,0.955,0.1,exponential,5.0,sqrt,3,96
13,14,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,64
14,15,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,65
15,16,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,66
16,17,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,67
17,18,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,68
18,19,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,70
19,20,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,71
20,21,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,72
21,22,"a, sinI",1.000,0.948,0.962,0.954,0.1,exponential,5.0,sqrt,3,73
22,23,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,42
23,24,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,43
24,25,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,44
25,26,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,45
26,27,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,46
27,28,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,47
28,29,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,48
29,30,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,49
30,31,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,51
31,32,"a, sinI",1.000,0.962,0.947,0.954,0.1,exponential,5.0,sqrt,3,52
32,33,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,74
33,34,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,75
34,35,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,76
35,36,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,77
36,37,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,78
37,38,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,79
38,39,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,80
39,40,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,81
40,41,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,82
41,42,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,83
42,43,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,84
43,44,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,85
44,45,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,86
45,46,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,88
46,47,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,89
47,48,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,94
48,49,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,95
49,50,"a, sinI",1.000,0.941,0.962,0.951,0.1,exponential,5.0,sqrt,3,69
50,51,"a, sinI",1.000,0.962,0.939,0.950,0.1,exponential,5.0,sqrt,3,50
51,52,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,90
52,53,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,91
