,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e, n",1.000,0.971,0.955,0.961,0.1,exponential,4.0,sqrt,3,95
1,2,"a, e",1.000,0.949,0.970,0.959,0.1,exponential,4.0,sqrt,3,85
2,3,"a, e",1.000,0.949,0.970,0.959,0.1,exponential,4.0,sqrt,3,95
3,4,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,4.0,sqrt,3,55
4,5,"a, e, sinI",1.000,0.956,0.962,0.958,0.2,exponential,4.0,sqrt,3,65
5,6,"a, e, n",1.000,0.964,0.955,0.957,0.2,exponential,4.0,sqrt,3,55
6,7,"a, e, n",1.000,0.964,0.955,0.957,0.2,exponential,4.0,sqrt,3,65
7,8,"a, e, n",1.000,0.964,0.955,0.957,0.2,exponential,4.0,sqrt,3,85
8,9,"a, e, n",1.000,0.971,0.948,0.957,0.1,exponential,4.0,sqrt,3,85
9,10,"a, e",1.000,0.943,0.970,0.955,0.2,exponential,4.0,sqrt,3,35
10,11,"a, e",1.000,0.943,0.970,0.955,0.2,exponential,4.0,sqrt,3,45
11,12,"a, e",1.000,0.949,0.962,0.955,0.1,exponential,4.0,sqrt,3,65
12,13,"a, e",1.000,0.949,0.962,0.955,0.1,exponential,4.0,sqrt,3,75
13,14,"a, e",1.000,0.949,0.962,0.955,0.2,exponential,4.0,sqrt,3,65
14,15,"a, e",1.000,0.949,0.962,0.955,0.2,exponential,4.0,sqrt,3,75
15,16,"a, e",1.000,0.949,0.962,0.955,0.2,exponential,4.0,sqrt,3,85
16,17,"a, e, sinI, n",1.000,0.948,0.962,0.954,0.1,log_loss,,sqrt,3,85
17,18,"a, e, sinI, n",1.000,0.948,0.962,0.954,0.1,log_loss,,sqrt,3,95
18,19,"a, sinI",1.000,0.948,0.962,0.954,0.2,exponential,4.0,sqrt,3,65
19,20,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,5
20,21,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,15
21,22,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,25
22,23,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,35
23,24,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,45
24,25,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,55
25,26,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,65
26,27,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,75
27,28,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,5
28,29,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,15
29,30,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,25
30,31,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,35
31,32,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,45
32,33,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,55
33,34,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,65
34,35,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,75
35,36,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,85
36,37,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,95
37,38,"a, e, n",1.000,0.958,0.955,0.954,0.2,exponential,4.0,sqrt,3,75
38,39,"a, e, n",1.000,0.957,0.955,0.953,0.1,exponential,4.0,sqrt,3,65
39,40,"a, e",1.000,0.962,0.947,0.953,0.1,exponential,,sqrt,3,95
40,41,"a, e, sinI, n",1.000,0.956,0.955,0.953,0.1,exponential,4.0,sqrt,3,55
41,42,"a, e, sinI, n",1.000,0.956,0.955,0.953,0.2,exponential,4.0,sqrt,3,35
42,43,"a, e, n",1.000,0.963,0.948,0.953,0.1,exponential,4.0,sqrt,3,75
43,44,"a, sinI",1.000,0.935,0.969,0.951,0.2,exponential,4.0,sqrt,3,75
44,45,"a, e",1.000,0.943,0.962,0.951,0.2,exponential,4.0,sqrt,3,55
45,46,"a, sinI",1.000,0.934,0.969,0.951,0.1,exponential,4.0,sqrt,3,95
46,47,"a, e",1.000,0.943,0.962,0.951,0.2,exponential,4.0,sqrt,3,95
47,48,"a, sinI",1.000,0.948,0.954,0.950,0.1,exponential,4.0,sqrt,3,55
48,49,"a, sinI, n",1.000,0.949,0.954,0.950,0.1,exponential,4.0,sqrt,3,65
49,50,"a, e, sinI",1.000,0.948,0.954,0.950,0.2,exponential,4.0,sqrt,3,95
50,51,"a, sinI, n",1.000,0.948,0.954,0.950,0.1,exponential,4.0,sqrt,3,75
51,52,"a, sinI, n",1.000,0.954,0.947,0.950,0.2,exponential,,sqrt,3,85
52,53,"a, sinI, n",1.000,0.954,0.947,0.950,0.2,exponential,,sqrt,3,95
53,54,"a, sinI",1.000,0.955,0.947,0.950,0.1,exponential,4.0,sqrt,3,45
54,55,"a, e, n",1.000,0.958,0.948,0.950,0.2,exponential,4.0,sqrt,3,45
55,56,"a, e, n",1.000,0.950,0.955,0.950,0.2,exponential,4.0,sqrt,3,95
56,57,"a, e, sinI, n",1.000,0.950,0.955,0.950,0.1,exponential,4.0,sqrt,3,75
57,58,"a, e, sinI, n",1.000,0.950,0.955,0.950,0.2,exponential,4.0,sqrt,3,65
