,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,3,55
1,2,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,3,65
2,3,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,3,75
3,4,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,3,85
4,5,"a, sinI",1.000,0.962,0.962,0.962,0.15,exponential,6.0,sqrt,3,45
5,6,"a, e, n",1.000,0.971,0.955,0.961,0.1,exponential,4.0,sqrt,3,95
6,7,"a, e",1.000,0.949,0.970,0.959,0.1,exponential,4.0,sqrt,3,85
7,8,"a, e",1.000,0.949,0.970,0.959,0.15,exponential,4.0,sqrt,3,45
8,9,"a, e",1.000,0.949,0.970,0.959,0.1,exponential,4.0,sqrt,3,95
9,10,"a, e",1.000,0.949,0.970,0.959,0.15,exponential,4.0,sqrt,3,55
10,11,"a, sinI",1.000,0.948,0.969,0.958,0.15,exponential,4.0,sqrt,3,65
11,12,"a, sinI",1.000,0.948,0.969,0.958,0.15,exponential,4.0,sqrt,3,75
12,13,"a, sinI",1.000,0.948,0.969,0.958,0.15,exponential,6.0,sqrt,3,95
13,14,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,4.0,sqrt,3,55
14,15,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,6.0,sqrt,3,95
15,16,"a, e, sinI",1.000,0.955,0.962,0.958,0.2,exponential,6.0,sqrt,3,95
16,17,"a, sinI",1.000,0.955,0.962,0.958,0.1,exponential,6.0,sqrt,3,95
17,18,"a, sinI",1.000,0.955,0.962,0.958,0.15,exponential,6.0,sqrt,3,55
18,19,"a, e, sinI",1.000,0.956,0.962,0.958,0.2,exponential,4.0,sqrt,3,65
19,20,"a, sinI",1.000,0.962,0.954,0.958,0.05,exponential,6.0,sqrt,3,95
20,21,"a, sinI",1.000,0.962,0.954,0.958,0.15,exponential,6.0,sqrt,3,35
21,22,"a, e, n",1.000,0.957,0.963,0.957,0.15,exponential,4.0,sqrt,3,65
22,23,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,25
23,24,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,35
24,25,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,45
25,26,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,55
26,27,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,65
27,28,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,75
28,29,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,85
29,30,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.05,log_loss,6.0,sqrt,3,95
30,31,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,5
31,32,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,15
32,33,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,25
33,34,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,35
34,35,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,45
35,36,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,55
36,37,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,65
37,38,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,75
38,39,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.1,log_loss,6.0,sqrt,3,85
39,40,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,5
40,41,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,15
41,42,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,25
42,43,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,35
43,44,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,45
44,45,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,55
45,46,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,65
46,47,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,75
47,48,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,85
48,49,"a, e, sinI, n",1.000,0.963,0.955,0.957,0.15,log_loss,6.0,sqrt,3,95
49,50,"a, e, sinI, n",1.000,0.957,0.963,0.957,0.15,exponential,4.0,sqrt,3,65
50,51,"a, e, n",1.000,0.964,0.955,0.957,0.2,exponential,4.0,sqrt,3,55
51,52,"a, e, n",1.000,0.964,0.955,0.957,0.2,exponential,4.0,sqrt,3,65
52,53,"a, e, n",1.000,0.964,0.955,0.957,0.2,exponential,4.0,sqrt,3,85
53,54,"a, sinI, n",1.000,0.977,0.939,0.957,0.1,exponential,6.0,sqrt,3,55
54,55,"a, e, n",1.000,0.970,0.948,0.957,0.2,exponential,6.0,sqrt,3,45
55,56,"a, e, n",1.000,0.971,0.948,0.957,0.1,exponential,4.0,sqrt,3,85
56,57,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,25
57,58,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,35
58,59,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,45
59,60,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,55
60,61,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,65
61,62,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,75
62,63,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,85
63,64,"a, n",1.000,0.943,0.970,0.955,0.05,log_loss,6.0,sqrt,3,95
64,65,"a, e",1.000,0.943,0.970,0.955,0.2,exponential,4.0,sqrt,3,35
65,66,"a, e",1.000,0.943,0.970,0.955,0.2,exponential,4.0,sqrt,3,45
66,67,"a, e",1.000,0.949,0.962,0.955,0.1,exponential,4.0,sqrt,3,65
67,68,"a, e",1.000,0.949,0.962,0.955,0.1,exponential,4.0,sqrt,3,75
68,69,"a, e",1.000,0.949,0.962,0.955,0.15,exponential,4.0,sqrt,3,65
69,70,"a, e",1.000,0.949,0.962,0.955,0.15,exponential,4.0,sqrt,3,75
70,71,"a, e",1.000,0.949,0.962,0.955,0.15,exponential,4.0,sqrt,3,85
71,72,"a, e",1.000,0.949,0.962,0.955,0.2,exponential,4.0,sqrt,3,65
72,73,"a, e",1.000,0.949,0.962,0.955,0.2,exponential,4.0,sqrt,3,75
73,74,"a, e",1.000,0.949,0.962,0.955,0.2,exponential,4.0,sqrt,3,85
74,75,"a, sinI",1.000,0.948,0.962,0.955,0.15,exponential,4.0,sqrt,3,85
75,76,"a, sinI",1.000,0.948,0.962,0.955,0.15,exponential,4.0,sqrt,3,95
76,77,"a, e, sinI, n",1.000,0.948,0.962,0.954,0.1,log_loss,,sqrt,3,85
77,78,"a, e, sinI, n",1.000,0.948,0.962,0.954,0.1,log_loss,,sqrt,3,95
78,79,"a, sinI",1.000,0.948,0.962,0.954,0.2,exponential,6.0,sqrt,3,45
79,80,"a, sinI",1.000,0.948,0.962,0.954,0.2,exponential,6.0,sqrt,3,65
80,81,"a, sinI",1.000,0.948,0.962,0.954,0.2,exponential,6.0,sqrt,3,85
81,82,"a, sinI",1.000,0.948,0.962,0.954,0.2,exponential,6.0,sqrt,3,35
82,83,"a, sinI",1.000,0.948,0.962,0.954,0.2,exponential,4.0,sqrt,3,65
83,84,"a, e, n",1.000,0.950,0.963,0.954,0.2,exponential,6.0,sqrt,3,95
84,85,"a, e",1.000,0.955,0.955,0.954,0.15,exponential,4.0,sqrt,3,35
85,86,"a, sinI",1.000,0.955,0.954,0.954,0.2,exponential,6.0,sqrt,3,25
86,87,"a, e, sinI",1.000,0.955,0.954,0.954,0.2,exponential,6.0,sqrt,3,85
87,88,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,5
88,89,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,15
89,90,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,25
90,91,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,35
91,92,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,45
92,93,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,55
93,94,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,65
94,95,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,75
95,96,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,85
96,97,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.05,log_loss,,sqrt,3,95
97,98,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,5
98,99,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,15
99,100,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,25
100,101,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,35
101,102,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,45
102,103,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,55
103,104,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,65
104,105,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.1,log_loss,,sqrt,3,75
105,106,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,5
106,107,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,15
107,108,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,25
108,109,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,35
109,110,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,45
110,111,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,55
111,112,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,65
112,113,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,75
113,114,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,85
114,115,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.15,log_loss,,sqrt,3,95
115,116,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,5
116,117,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,15
117,118,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,25
118,119,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,35
119,120,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,45
120,121,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,55
121,122,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,65
122,123,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,75
123,124,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,85
124,125,"a, e, sinI, n",1.000,0.955,0.955,0.954,0.2,log_loss,,sqrt,3,95
125,126,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.1,log_loss,6.0,sqrt,3,95
126,127,"a, sinI",1.000,0.962,0.947,0.954,0.05,exponential,4.0,sqrt,3,95
127,128,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.05,log_loss,6.0,sqrt,3,15
128,129,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,5
129,130,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,15
130,131,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,25
131,132,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,35
132,133,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,45
133,134,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,55
134,135,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,65
135,136,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,75
136,137,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,85
137,138,"a, e, sinI, n",1.000,0.956,0.955,0.954,0.2,log_loss,6.0,sqrt,3,95
138,139,"a, e, n",1.000,0.958,0.955,0.954,0.2,exponential,4.0,sqrt,3,75
139,140,"a, e, n",1.000,0.957,0.955,0.953,0.1,exponential,4.0,sqrt,3,65
140,141,"a, e",1.000,0.962,0.947,0.953,0.1,exponential,,sqrt,3,95
141,142,"a, e",1.000,0.962,0.947,0.953,0.15,exponential,,sqrt,3,95
142,143,"a, e, sinI, n",1.000,0.956,0.955,0.953,0.1,exponential,4.0,sqrt,3,55
143,144,"a, e, sinI, n",1.000,0.956,0.955,0.953,0.2,exponential,4.0,sqrt,3,35
144,145,"a, sinI, n",1.000,0.969,0.939,0.953,0.2,exponential,6.0,sqrt,3,25
145,146,"a, e, n",1.000,0.963,0.948,0.953,0.1,exponential,6.0,sqrt,3,95
146,147,"a, e, n",1.000,0.963,0.948,0.953,0.15,exponential,4.0,sqrt,3,35
147,148,"a, e, n",1.000,0.963,0.948,0.953,0.2,exponential,6.0,sqrt,3,55
148,149,"a, e, n",1.000,0.963,0.948,0.953,0.2,exponential,6.0,sqrt,3,65
149,150,"a, e, sinI, n",1.000,0.963,0.948,0.953,0.05,exponential,4.0,sqrt,3,85
150,151,"a, e, n",1.000,0.963,0.948,0.953,0.1,exponential,4.0,sqrt,3,75
151,152,"a, sinI, n",1.000,0.977,0.932,0.953,0.1,exponential,6.0,sqrt,3,65
152,153,"a, e, n",1.000,0.969,0.940,0.953,0.1,exponential,6.0,sqrt,3,75
153,154,"a, e, n",1.000,0.969,0.940,0.953,0.2,exponential,6.0,sqrt,3,35
154,155,"a, e, sinI, n",1.000,0.971,0.940,0.952,0.1,exponential,6.0,sqrt,3,65
155,156,"a, e, sinI, n",1.000,0.930,0.977,0.952,0.05,log_loss,4.0,sqrt,3,15
156,157,"a, n",1.000,0.936,0.970,0.952,0.05,log_loss,6.0,sqrt,3,5
157,158,"a, n",1.000,0.936,0.970,0.952,0.05,log_loss,6.0,sqrt,3,15
158,159,"a, sinI",1.000,0.935,0.969,0.951,0.2,exponential,4.0,sqrt,3,75
159,160,"a, e",1.000,0.943,0.962,0.951,0.2,exponential,4.0,sqrt,3,55
160,161,"a, sinI",1.000,0.934,0.969,0.951,0.1,exponential,4.0,sqrt,3,95
161,162,"a, e",1.000,0.943,0.962,0.951,0.15,exponential,4.0,sqrt,3,95
162,163,"a, e",1.000,0.943,0.962,0.951,0.2,exponential,4.0,sqrt,3,95
163,164,"a, sinI",1.000,0.941,0.962,0.951,0.15,exponential,6.0,sqrt,3,65
164,165,"a, sinI",1.000,0.941,0.962,0.951,0.15,exponential,6.0,sqrt,3,75
165,166,"a, sinI",1.000,0.941,0.962,0.951,0.15,exponential,6.0,sqrt,3,85
166,167,"a, sinI",1.000,0.947,0.954,0.951,0.15,exponential,4.0,sqrt,3,55
167,168,"a, sinI",1.000,0.947,0.954,0.950,0.15,exponential,4.0,sqrt,3,45
168,169,"a, sinI",1.000,0.948,0.954,0.950,0.1,exponential,4.0,sqrt,3,55
169,170,"a, e",1.000,0.948,0.954,0.950,0.2,exponential,6.0,sqrt,3,65
170,171,"a, e",1.000,0.948,0.954,0.950,0.2,exponential,6.0,sqrt,3,75
171,172,"a, e",1.000,0.948,0.954,0.950,0.2,exponential,6.0,sqrt,3,85
