,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, sinI",1.000,0.955,0.977,0.966,0.2,exponential,11.0,sqrt,9,95
1,2,"a, sinI",1.000,0.962,0.969,0.965,0.15,exponential,8.0,sqrt,6,95
2,3,"a, sinI",1.000,0.949,0.977,0.962,0.2,exponential,18.0,sqrt,9,95
3,4,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5.0,sqrt,9,95
4,5,"a, e",1.000,0.956,0.970,0.962,0.15,exponential,4.0,sqrt,6,55
5,6,"a, e",1.000,0.956,0.970,0.962,0.15,exponential,5.0,sqrt,9,55
6,7,"a, e",1.000,0.956,0.970,0.962,0.2,exponential,3.0,sqrt,9,95
7,8,"a, e",1.000,0.956,0.970,0.962,0.15,exponential,3.0,sqrt,9,95
8,9,"a, sinI",1.000,0.955,0.969,0.962,0.15,exponential,3.0,sqrt,3,95
9,10,"a, sinI",1.000,0.955,0.969,0.962,0.15,exponential,3.0,sqrt,6,95
10,11,"a, sinI",1.000,0.955,0.969,0.962,0.15,exponential,3.0,sqrt,9,95
11,12,"a, sinI",1.000,0.955,0.969,0.962,0.15,exponential,6.0,sqrt,6,95
12,13,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,3.0,sqrt,3,95
13,14,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5.0,sqrt,3,55
14,15,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,3,55
15,16,"a, sinI",1.000,0.962,0.962,0.962,0.2,exponential,13.0,sqrt,9,95
16,17,"a, e, n",1.000,0.957,0.970,0.962,0.15,exponential,7.0,sqrt,9,95
17,18,"a, e, n",1.000,0.957,0.970,0.962,0.2,exponential,6.0,sqrt,6,95
18,19,"a, n, sinI",1.000,0.977,0.947,0.961,0.1,exponential,7.0,sqrt,6,55
19,20,"a, n, sinI",1.000,0.977,0.947,0.961,0.1,exponential,8.0,sqrt,6,55
20,21,"a, n, sinI",1.000,0.977,0.947,0.961,0.1,exponential,9.0,sqrt,6,55
21,22,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,,sqrt,9,95
22,23,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,6.0,sqrt,6,95
23,24,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,15.0,sqrt,9,95
24,25,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,20.0,sqrt,9,95
25,26,"a, e, n",1.000,0.971,0.955,0.961,0.1,exponential,4.0,sqrt,3,95
26,27,"a, e",1.000,0.949,0.970,0.959,0.15,exponential,3.0,sqrt,6,55
27,28,"a, e",1.000,0.949,0.970,0.959,0.15,exponential,3.0,sqrt,9,55
28,29,"a, e",1.000,0.949,0.970,0.959,0.2,exponential,4.0,sqrt,9,55
29,30,"a, e",1.000,0.949,0.970,0.959,0.1,exponential,4.0,sqrt,3,95
30,31,"a, e",1.000,0.949,0.970,0.959,0.15,exponential,4.0,sqrt,3,55
31,32,"a, e",1.000,0.949,0.970,0.959,0.2,exponential,4.0,sqrt,9,95
32,33,"a, e",1.000,0.949,0.970,0.959,0.2,exponential,6.0,sqrt,9,55
33,34,"a, e",1.000,0.949,0.970,0.958,0.15,exponential,6.0,sqrt,9,95
34,35,"a, e",1.000,0.948,0.970,0.958,0.2,exponential,9.0,sqrt,6,95
35,36,"a, sinI",1.000,0.948,0.969,0.958,0.1,exponential,8.0,sqrt,9,95
36,37,"a, sinI",1.000,0.948,0.969,0.958,0.15,exponential,6.0,sqrt,3,95
37,38,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,2.0,sqrt,3,95
38,39,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,2.0,sqrt,6,95
39,40,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,2.0,sqrt,9,95
40,41,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,4.0,sqrt,3,55
41,42,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,4.0,sqrt,9,55
42,43,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,4.0,sqrt,9,95
43,44,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,5.0,sqrt,9,55
44,45,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,9,95
45,46,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,10.0,sqrt,9,95
46,47,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,19.0,sqrt,9,95
47,48,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,20.0,sqrt,9,95
48,49,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,2.0,sqrt,3,95
49,50,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,2.0,sqrt,6,95
50,51,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,2.0,sqrt,9,95
51,52,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,5.0,sqrt,6,55
52,53,"a, sinI",1.000,0.948,0.969,0.958,0.15,exponential,6.0,sqrt,9,95
53,54,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,3.0,sqrt,9,95
54,55,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,6.0,sqrt,3,95
55,56,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,7.0,sqrt,3,95
56,57,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,6.0,sqrt,6,95
57,58,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,5.0,sqrt,3,95
58,59,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,10.0,sqrt,9,95
59,60,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,13.0,sqrt,9,95
60,61,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,16.0,sqrt,9,95
61,62,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,6.0,sqrt,6,55
62,63,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,6.0,sqrt,6,95
63,64,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,12.0,sqrt,6,95
64,65,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,13.0,sqrt,6,95
65,66,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,19.0,sqrt,6,95
66,67,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,19.0,sqrt,9,95
67,68,"a, e",1.000,0.956,0.962,0.958,0.1,exponential,3.0,sqrt,3,95
68,69,"a, e",1.000,0.956,0.962,0.958,0.1,exponential,3.0,sqrt,6,95
69,70,"a, e",1.000,0.956,0.962,0.958,0.1,exponential,3.0,sqrt,9,95
70,71,"a, e",1.000,0.956,0.962,0.958,0.1,exponential,4.0,sqrt,6,95
71,72,"a, e",1.000,0.955,0.962,0.958,0.1,exponential,5.0,sqrt,3,95
72,73,"a, e",1.000,0.956,0.962,0.958,0.15,exponential,3.0,sqrt,6,95
73,74,"a, e",1.000,0.955,0.962,0.958,0.15,exponential,5.0,sqrt,3,55
74,75,"a, e",1.000,0.956,0.962,0.958,0.2,exponential,3.0,sqrt,3,55
75,76,"a, e",1.000,0.956,0.962,0.958,0.2,exponential,3.0,sqrt,3,95
76,77,"a, e",1.000,0.956,0.962,0.958,0.2,exponential,3.0,sqrt,6,55
77,78,"a, e",1.000,0.956,0.962,0.958,0.2,exponential,3.0,sqrt,6,95
78,79,"a, e",1.000,0.956,0.962,0.958,0.2,exponential,3.0,sqrt,9,55
79,80,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,5.0,sqrt,3,55
80,81,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,5.0,sqrt,9,55
81,82,"a, e",1.000,0.956,0.962,0.958,0.2,exponential,5.0,sqrt,9,95
82,83,"a, e",1.000,0.956,0.962,0.958,0.2,exponential,9.0,sqrt,9,95
