,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,5,sqrt,9,95
1,2,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,5,sqrt,3,55
2,3,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6,sqrt,3,55
3,4,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6,sqrt,7,55
4,5,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,7,sqrt,5,95
5,6,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,8,sqrt,7,95
6,7,"a, n, sinI",1.000,0.970,0.955,0.961,0.1,exponential,6,sqrt,5,55
7,8,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,5,sqrt,5,95
8,9,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,6,sqrt,5,95
9,10,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,7,sqrt,7,95
10,11,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,12,sqrt,7,95
11,12,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,15,sqrt,9,95
12,13,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,20,sqrt,9,95
13,14,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,21,sqrt,9,95
14,15,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,22,sqrt,9,95
15,16,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,23,sqrt,9,95
16,17,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,24,sqrt,9,95
17,18,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,26,sqrt,9,95
18,19,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,27,sqrt,9,95
19,20,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,28,sqrt,9,95
20,21,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,29,sqrt,9,95
21,22,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,30,sqrt,9,95
22,23,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,31,sqrt,9,95
23,24,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,32,sqrt,9,95
24,25,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,33,sqrt,9,95
25,26,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,34,sqrt,9,95
26,27,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,35,sqrt,9,95
27,28,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,36,sqrt,9,95
28,29,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,37,sqrt,9,95
29,30,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,38,sqrt,9,95
30,31,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,39,sqrt,9,95
31,32,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,40,sqrt,9,95
32,33,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,41,sqrt,9,95
33,34,"a, e, n",1.000,0.963,0.963,0.961,0.1,exponential,42,sqrt,9,95
