,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e",1.000,0.949,0.977,0.962,0.2,exponential,8.0,sqrt,8,95
1,2,"a, sinI",1.000,0.949,0.977,0.962,0.2,exponential,8.0,sqrt,25,95
2,3,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,,sqrt,19,55
3,4,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,5,95
4,5,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,26,55
5,6,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,26,95
6,7,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,28,55
7,8,"a, sinI",1.000,0.962,0.962,0.962,0.2,exponential,8.0,sqrt,16,55
8,9,"a, e, n",1.000,0.971,0.955,0.961,0.2,exponential,,sqrt,4,95
9,10,"a, sinI",1.000,0.948,0.970,0.959,0.2,exponential,,sqrt,15,95
10,11,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,10,95
11,12,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,18,95
12,13,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,30,95
13,14,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,,sqrt,13,95
14,15,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,,sqrt,16,95
15,16,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,7,55
16,17,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,7,95
17,18,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,9,95
18,19,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,14,95
19,20,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,21,55
20,21,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,22,55
21,22,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,23,55
22,23,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,24,55
23,24,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,25,55
24,25,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,29,95
25,26,"a, sinI",1.000,0.955,0.962,0.958,0.2,exponential,,sqrt,17,95
26,27,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,17,95
27,28,"a, sinI",1.000,0.948,0.969,0.958,0.2,exponential,8.0,sqrt,8,95
28,29,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,8.0,sqrt,12,95
29,30,"a, e",1.000,0.955,0.962,0.958,0.2,exponential,8.0,sqrt,25,55
