Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
2225,1,2224,47358,91,47267,GB1,"a, e",1,1,47266,90,0.998,0.5,0.011,0.022
2225,1,2224,47358,91,47267,GB1,"a, sinI",0,0,47267,91,0.998,0.0,0.0,0.0
2225,1,2224,47358,91,47267,GB2,"a, e",1,1,47266,90,0.998,0.5,0.011,0.022
2225,1,2224,47358,91,47267,GB2,"a, sinI",0,0,47267,91,0.998,0.0,0.0,0.0
2357,2,2355,47358,91,47267,GB1,"a, e",26,13,47254,65,0.998,0.667,0.286,0.4
2357,2,2355,47358,91,47267,GB1,"a, sinI",35,19,47248,56,0.998,0.648,0.385,0.483
2357,2,2355,47358,91,47267,GB2,"a, e",26,13,47254,65,0.998,0.667,0.286,0.4
2357,2,2355,47358,91,47267,GB2,"a, sinI",35,19,47248,56,0.998,0.648,0.385,0.483
2507,3,2504,47358,91,47267,GB1,"a, e",45,21,47246,46,0.999,0.682,0.495,0.573
2507,3,2504,47358,91,47267,GB1,"a, sinI",54,27,47240,37,0.999,0.667,0.593,0.628
2507,3,2504,47358,91,47267,GB2,"a, e",45,21,47246,46,0.999,0.682,0.495,0.573
2507,3,2504,47358,91,47267,GB2,"a, sinI",54,27,47240,37,0.999,0.667,0.593,0.628
2904,4,2900,47358,91,47267,GB1,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
2904,4,2900,47358,91,47267,GB1,"a, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
2904,4,2900,47358,91,47267,GB2,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
2904,4,2900,47358,91,47267,GB2,"a, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3132,5,3127,47358,91,47267,GB1,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3132,5,3127,47358,91,47267,GB1,"a, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3132,5,3127,47358,91,47267,GB2,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3132,5,3127,47358,91,47267,GB2,"a, sinI",84,12,47255,7,1.0,0.875,0.923,0.898
3508,6,3502,47358,91,47267,GB1,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3508,6,3502,47358,91,47267,GB1,"a, sinI",84,15,47252,7,1.0,0.848,0.923,0.884
3508,6,3502,47358,91,47267,GB2,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3508,6,3502,47358,91,47267,GB2,"a, sinI",84,15,47252,7,1.0,0.848,0.923,0.884
3523,7,3516,47358,91,47267,GB1,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3523,7,3516,47358,91,47267,GB1,"a, sinI",84,15,47252,7,1.0,0.848,0.923,0.884
3523,7,3516,47358,91,47267,GB2,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3523,7,3516,47358,91,47267,GB2,"a, sinI",84,15,47252,7,1.0,0.848,0.923,0.884
3540,8,3532,47358,91,47267,GB1,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3540,8,3532,47358,91,47267,GB1,"a, sinI",84,15,47252,7,1.0,0.848,0.923,0.884
3540,8,3532,47358,91,47267,GB2,"a, e",62,7,47260,29,0.999,0.899,0.681,0.775
3540,8,3532,47358,91,47267,GB2,"a, sinI",84,16,47251,7,1.0,0.84,0.923,0.88
3661,9,3652,47358,91,47267,GB1,"a, e",65,24,47243,26,0.999,0.73,0.714,0.722
3661,9,3652,47358,91,47267,GB1,"a, sinI",88,37,47230,3,0.999,0.704,0.967,0.815
3661,9,3652,47358,91,47267,GB2,"a, e",65,24,47243,26,0.999,0.73,0.714,0.722
3661,9,3652,47358,91,47267,GB2,"a, sinI",87,38,47229,4,0.999,0.696,0.956,0.806
4437,10,4427,47358,91,47267,GB1,"a, e",89,38,47229,2,0.999,0.701,0.978,0.817
4437,10,4427,47358,91,47267,GB1,"a, sinI",88,37,47230,3,0.999,0.704,0.967,0.815
4437,10,4427,47358,91,47267,GB2,"a, e",89,38,47229,2,0.999,0.701,0.978,0.817
4437,10,4427,47358,91,47267,GB2,"a, sinI",87,37,47230,4,0.999,0.702,0.956,0.809
4860,11,4849,47358,91,47267,GB1,"a, e",89,35,47232,2,0.999,0.718,0.978,0.828
4860,11,4849,47358,91,47267,GB1,"a, sinI",81,34,47233,10,0.999,0.704,0.89,0.786
4860,11,4849,47358,91,47267,GB2,"a, e",89,35,47232,2,0.999,0.718,0.978,0.828
4860,11,4849,47358,91,47267,GB2,"a, sinI",87,34,47233,4,0.999,0.719,0.956,0.821
5008,12,4996,47358,91,47267,GB1,"a, e",89,35,47232,2,0.999,0.718,0.978,0.828
5008,12,4996,47358,91,47267,GB1,"a, sinI",80,34,47233,11,0.999,0.702,0.879,0.78
5008,12,4996,47358,91,47267,GB2,"a, e",89,35,47232,2,0.999,0.718,0.978,0.828
5008,12,4996,47358,91,47267,GB2,"a, sinI",80,34,47233,11,0.999,0.702,0.879,0.78
5392,13,5379,47358,91,47267,GB1,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
5392,13,5379,47358,91,47267,GB1,"a, sinI",87,31,47236,4,0.999,0.737,0.956,0.833
5392,13,5379,47358,91,47267,GB2,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
5392,13,5379,47358,91,47267,GB2,"a, sinI",87,31,47236,4,0.999,0.737,0.956,0.833
5784,14,5770,47358,91,47267,GB1,"a, e",88,30,47237,3,0.999,0.746,0.967,0.842
5784,14,5770,47358,91,47267,GB1,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
5784,14,5770,47358,91,47267,GB2,"a, e",88,30,47237,3,0.999,0.746,0.967,0.842
5784,14,5770,47358,91,47267,GB2,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
5808,15,5793,47358,91,47267,GB1,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
5808,15,5793,47358,91,47267,GB1,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
5808,15,5793,47358,91,47267,GB2,"a, e",87,30,47237,4,0.999,0.744,0.956,0.837
5808,15,5793,47358,91,47267,GB2,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
6526,16,6510,47358,91,47267,GB1,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
6526,16,6510,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
6526,16,6510,47358,91,47267,GB2,"a, e",88,30,47237,3,0.999,0.746,0.967,0.842
6526,16,6510,47358,91,47267,GB2,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
6703,17,6686,47358,91,47267,GB1,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
6703,17,6686,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
