,Rank,Features,Accuracy,Precision,Recall,F1 score
0,1,n,1.000,0.916,0.970,0.941
1,2,"e, n",1.000,0.916,0.962,0.937
2,3,"a, n",1.000,0.897,0.977,0.935
3,4,"a, e, n",1.000,0.897,0.977,0.935
4,5,"a, sinI, n",1.000,0.896,0.970,0.931
5,6,"a, e, sinI, n",1.000,0.896,0.970,0.931
6,7,"sinI, n",0.999,0.906,0.940,0.921
7,8,"e, sinI, n",0.999,0.914,0.932,0.920
8,9,a,0.999,0.882,0.962,0.920
9,10,"a, e",0.999,0.889,0.955,0.919
10,11,"a, sinI",0.999,0.880,0.939,0.908
11,12,"a, e, sinI",0.999,0.887,0.932,0.907
12,13,e,0.997,0.000,0.000,0.000
13,14,sinI,0.997,0.000,0.000,0.000
14,15,"e, sinI",0.997,0.000,0.000,0.000
