Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
2225,1,2224,47358,91,47267,NB,n,14,3,47264,77,0.998,0.824,0.154,0.259
2225,1,2224,47358,91,47267,NB,"a, n",82,11,47256,9,1.0,0.882,0.901,0.891
2225,1,2224,47358,91,47267,NB,"e, n",0,0,47267,91,0.998,0.0,0.0,0.0
2225,1,2224,47358,91,47267,NB,"a, e, n",0,0,47267,91,0.998,0.0,0.0,0.0
2357,2,2355,47358,91,47267,NB,n,85,11,47256,6,1.0,0.885,0.934,0.909
2357,2,2355,47358,91,47267,NB,"a, n",86,11,47256,5,1.0,0.887,0.945,0.915
2357,2,2355,47358,91,47267,NB,"e, n",30,2,47265,61,0.999,0.938,0.33,0.488
2357,2,2355,47358,91,47267,NB,"a, e, n",55,5,47262,36,0.999,0.917,0.604,0.728
2507,3,2504,47358,91,47267,NB,n,85,11,47256,6,1.0,0.885,0.934,0.909
2507,3,2504,47358,91,47267,NB,"a, n",86,11,47256,5,1.0,0.887,0.945,0.915
2507,3,2504,47358,91,47267,NB,"e, n",64,6,47261,27,0.999,0.914,0.703,0.795
2507,3,2504,47358,91,47267,NB,"a, e, n",82,10,47257,9,1.0,0.891,0.901,0.896
2904,4,2900,47358,91,47267,NB,n,85,11,47256,6,1.0,0.885,0.934,0.909
2904,4,2900,47358,91,47267,NB,"a, n",85,11,47256,6,1.0,0.885,0.934,0.909
2904,4,2900,47358,91,47267,NB,"e, n",82,10,47257,9,1.0,0.891,0.901,0.896
2904,4,2900,47358,91,47267,NB,"a, e, n",85,11,47256,6,1.0,0.885,0.934,0.909
3132,5,3127,47358,91,47267,NB,n,85,11,47256,6,1.0,0.885,0.934,0.909
3132,5,3127,47358,91,47267,NB,"a, n",85,11,47256,6,1.0,0.885,0.934,0.909
3132,5,3127,47358,91,47267,NB,"e, n",81,10,47257,10,1.0,0.89,0.89,0.89
3132,5,3127,47358,91,47267,NB,"a, e, n",85,11,47256,6,1.0,0.885,0.934,0.909
3508,6,3502,47358,91,47267,NB,n,85,11,47256,6,1.0,0.885,0.934,0.909
3508,6,3502,47358,91,47267,NB,"a, n",85,11,47256,6,1.0,0.885,0.934,0.909
3508,6,3502,47358,91,47267,NB,"e, n",78,8,47259,13,1.0,0.907,0.857,0.881
