,Rank,Features,Accuracy,Precision,Recall,F1 score,Class_weight,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e, n",1.000,0.963,0.963,0.961,,3.0,sqrt,3,20
1,2,"a, e, sinI, n",1.000,0.944,0.970,0.955,balanced,7.0,sqrt,3,20
2,3,"a, e, sinI, n",1.000,0.943,0.970,0.955,balanced,,sqrt,3,100
3,4,"a, sinI",1.000,0.948,0.962,0.954,,,sqrt,3,20
4,5,"a, e, sinI, n",1.000,0.949,0.962,0.954,,7.0,sqrt,3,50
5,6,"a, e, n",1.000,0.949,0.963,0.954,,3.0,sqrt,3,10
6,7,"a, e, sinI, n",1.000,0.949,0.963,0.954,,7.0,sqrt,3,20
7,8,"a, n",1.000,0.929,0.977,0.952,balanced,7.0,sqrt,3,50
8,9,"a, n",1.000,0.929,0.977,0.952,balanced,7.0,sqrt,3,100
9,10,"a, sinI, n",1.000,0.929,0.977,0.952,balanced,,sqrt,3,100
10,11,"a, e",1.000,0.936,0.970,0.951,balanced,7.0,sqrt,3,50
11,12,"a, n",1.000,0.935,0.970,0.951,balanced,7.0,sqrt,3,20
12,13,"a, n",1.000,0.936,0.970,0.951,balanced,,sqrt,3,100
13,14,"a, sinI",1.000,0.928,0.977,0.951,balanced,,sqrt,3,50
14,15,"a, sinI, n",1.000,0.935,0.970,0.951,,,sqrt,3,100
15,16,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,100
16,17,"a, e, n",1.000,0.937,0.970,0.951,balanced,7.0,sqrt,3,100
17,18,"a, e, n",1.000,0.937,0.970,0.951,,7.0,sqrt,3,100
18,19,"a, e, sinI, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,50
19,20,"a, e, sinI, n",1.000,0.937,0.970,0.951,balanced,7.0,sqrt,3,100
20,21,"a, e",1.000,0.942,0.962,0.951,,,sqrt,3,50
21,22,"a, e",1.000,0.942,0.962,0.951,,,sqrt,3,100
22,23,"a, sinI",1.000,0.941,0.962,0.951,balanced,,sqrt,3,100
23,24,"a, sinI",1.000,0.948,0.954,0.950,,,sqrt,3,50
24,25,"a, sinI",1.000,0.948,0.954,0.950,,,sqrt,3,100
25,26,"a, sinI",1.000,0.948,0.954,0.950,,7.0,sqrt,3,100
26,27,"a, e, sinI, n",1.000,0.948,0.955,0.950,,,sqrt,3,50
27,28,"a, e, sinI, n",1.000,0.944,0.963,0.950,balanced,,sqrt,3,20
28,29,"a, e, n",1.000,0.943,0.963,0.950,balanced,7.0,sqrt,3,50
29,30,"a, e, sinI, n",1.000,0.950,0.955,0.950,,3.0,sqrt,3,20
30,31,"a, sinI",1.000,0.922,0.977,0.948,balanced,7.0,sqrt,3,100
31,32,"a, sinI, n",1.000,0.922,0.977,0.948,balanced,7.0,sqrt,3,100
32,33,"a, e, sinI, n",1.000,0.931,0.970,0.948,balanced,7.0,sqrt,3,50
33,34,"a, n",1.000,0.934,0.962,0.948,balanced,,sqrt,3,20
34,35,"a, e",1.000,0.935,0.962,0.948,balanced,,sqrt,3,50
35,36,"a, sinI, n",1.000,0.934,0.962,0.947,,7.0,sqrt,3,100
