,Rank,Features,Accuracy,Precision,Recall,F1 score,Class_weight,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e, n, sinI",1.000,0.958,0.962,0.958,,,sqrt,3,6
1,2,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,29
2,3,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,30
3,4,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,31
4,5,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,32
5,6,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,33
6,7,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,34
7,8,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,35
8,9,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,36
9,10,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,37
10,11,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,38
11,12,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,39
12,13,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,40
13,14,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,41
14,15,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,42
15,16,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,43
16,17,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,44
17,18,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,45
18,19,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,46
19,20,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,47
20,21,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,48
21,22,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,49
22,23,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,50
23,24,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,51
24,25,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,52
25,26,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,53
26,27,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,54
27,28,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,55
28,29,"a, e, n, sinI",1.000,0.950,0.970,0.958,balanced,,sqrt,3,56
