,Rank,Features,Accuracy,Precision,Recall,F1 score,Class_weight,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e, n",1.000,0.963,0.963,0.961,,3.0,sqrt,3,20
1,2,"a, e, n",1.000,0.956,0.963,0.958,,3.0,sqrt,3,12
2,3,"a, e, n",1.000,0.937,0.978,0.955,balanced,,sqrt,3,67
3,4,"a, e, n",1.000,0.937,0.978,0.955,balanced,,sqrt,3,68
4,5,"a, e, n",1.000,0.937,0.978,0.955,balanced,,sqrt,3,69
5,6,"a, e, n",1.000,0.937,0.978,0.955,balanced,,sqrt,3,71
6,7,"a, e, n",1.000,0.943,0.970,0.955,balanced,7.0,sqrt,3,56
7,8,"a, e, n",1.000,0.949,0.963,0.954,,3.0,sqrt,3,10
8,9,"a, e, n",1.000,0.949,0.963,0.954,,3.0,sqrt,3,11
9,10,"a, e, n",1.000,0.950,0.963,0.954,,7.0,sqrt,3,15
10,11,"a, e, n",1.000,0.957,0.956,0.953,balanced,7.0,sqrt,3,6
11,12,"a, e, n",1.000,0.936,0.970,0.951,balanced,,sqrt,3,72
12,13,"a, e, n",1.000,0.936,0.970,0.951,balanced,,sqrt,3,73
13,14,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,75
14,15,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,76
15,16,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,77
16,17,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,78
17,18,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,79
18,19,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,80
19,20,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,81
20,21,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,82
21,22,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,83
22,23,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,84
23,24,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,85
24,25,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,86
25,26,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,87
26,27,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,88
27,28,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,89
28,29,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,90
29,30,"a, e, n",1.000,0.937,0.970,0.951,balanced,,sqrt,3,91
