Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
2225,1,2224,47358,91,47267,RF,"a, e, n",1,1,47266,90,0.998,0.5,0.011,0.022
2357,2,2355,47358,91,47267,RF,"a, e, n",26,13,47254,65,0.998,0.667,0.286,0.4
2507,3,2504,47358,91,47267,RF,"a, e, n",45,24,47243,46,0.999,0.652,0.495,0.562
2904,4,2900,47358,91,47267,RF,"a, e, n",63,9,47258,28,0.999,0.875,0.692,0.773
3132,5,3127,47358,91,47267,RF,"a, e, n",62,9,47258,29,0.999,0.873,0.681,0.765
3508,6,3502,47358,91,47267,RF,"a, e, n",63,9,47258,28,0.999,0.875,0.692,0.773
3523,7,3516,47358,91,47267,RF,"a, e, n",63,9,47258,28,0.999,0.875,0.692,0.773
3540,8,3532,47358,91,47267,RF,"a, e, n",63,9,47258,28,0.999,0.875,0.692,0.773
3661,9,3652,47358,91,47267,RF,"a, e, n",65,27,47240,26,0.999,0.707,0.714,0.71
4437,10,4427,47358,91,47267,RF,"a, e, n",89,43,47224,2,0.999,0.674,0.978,0.798
4860,11,4849,47358,91,47267,RF,"a, e, n",88,35,47232,3,0.999,0.715,0.967,0.822
5008,12,4996,47358,91,47267,RF,"a, e, n",89,39,47228,2,0.999,0.695,0.978,0.813
5392,13,5379,47358,91,47267,RF,"a, e, n",89,32,47235,2,0.999,0.736,0.978,0.84
5784,14,5770,47358,91,47267,RF,"a, e, n",89,32,47235,2,0.999,0.736,0.978,0.84
5808,15,5793,47358,91,47267,RF,"a, e, n",89,36,47231,2,0.999,0.712,0.978,0.824
6526,16,6510,47358,91,47267,RF,"a, e, n",89,33,47234,2,0.999,0.73,0.978,0.836
6703,17,6686,47358,91,47267,RF,"a, e, n",89,33,47234,2,0.999,0.73,0.978,0.836
7359,18,7341,47358,91,47267,RF,"a, e, n",89,27,47240,2,0.999,0.767,0.978,0.86
7561,19,7542,47358,91,47267,RF,"a, e, n",89,27,47240,2,0.999,0.767,0.978,0.86
7680,20,7660,47358,91,47267,RF,"a, e, n",89,28,47239,2,0.999,0.761,0.978,0.856
8270,21,8249,47358,91,47267,RF,"a, e, n",89,27,47240,2,0.999,0.767,0.978,0.86
9240,22,9218,47358,91,47267,RF,"a, e, n",89,27,47240,2,0.999,0.767,0.978,0.86
9454,23,9431,47358,91,47267,RF,"a, e, n",89,29,47238,2,0.999,0.754,0.978,0.852
9533,24,9509,47358,91,47267,RF,"a, e, n",88,27,47240,3,0.999,0.765,0.967,0.854
9652,25,9627,47358,91,47267,RF,"a, e, n",87,25,47242,4,0.999,0.777,0.956,0.857
9800,26,9774,47358,91,47267,RF,"a, e, n",88,27,47240,3,0.999,0.765,0.967,0.854
10119,27,10092,47358,91,47267,RF,"a, e, n",88,26,47241,3,0.999,0.772,0.967,0.859
10421,28,10393,47358,91,47267,RF,"a, e, n",89,32,47235,2,0.999,0.736,0.978,0.84
10658,29,10629,47358,91,47267,RF,"a, e, n",88,29,47238,3,0.999,0.752,0.967,0.846
