Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
39661,100,39561,94191,187,94004,"kNN, k=6","a, n",177,20,93984,10,1.0,0.898,0.947,0.922
16330,50,16280,94191,187,94004,DT,"a, n, sinI",173,19,93985,14,1.0,0.901,0.925,0.913
39661,100,39561,94191,187,94004,DT,"a, n, sinI",180,25,93979,7,1.0,0.878,0.963,0.918
16330,50,16280,94191,187,94004,Ada,"a, e",170,26,93978,17,1.0,0.867,0.909,0.888
17396,55,17341,94191,187,94004,Ada,"a, e",174,20,93984,13,1.0,0.897,0.93,0.913
17396,55,17341,94191,187,94004,"GB, d=3","a, e",169,20,93984,18,1.0,0.894,0.904,0.899
17396,55,17341,94191,187,94004,"GB, d=0","a, e",161,25,93979,26,0.999,0.866,0.861,0.863
16330,50,16280,94191,187,94004,RF d=0,"a, e, n, sinI",174,24,93980,13,1.0,0.879,0.93,0.904
39661,100,39561,94191,187,94004,RF d=0,"a, e, n, sinI",174,23,93981,13,1.0,0.883,0.93,0.906
2507,3,2504,94191,187,94004,NB,n,174,21,93983,13,1.0,0.892,0.93,0.911
39661,100,39561,94191,187,94004,NB,n,183,42,93962,4,1.0,0.813,0.979,0.888
