Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1",a,91,666,46601,0,0.986,0.12,1.0,0.215
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1",e,47,17854,29413,44,0.622,0.003,0.516,0.005
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1",sinI,52,15577,31690,39,0.67,0.003,0.571,0.007
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1",n,91,666,46601,0,0.986,0.12,1.0,0.215
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","a, e",91,3822,43445,0,0.919,0.023,1.0,0.045
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","a, sinI",91,1143,46124,0,0.976,0.074,1.0,0.137
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","a, n",91,666,46601,0,0.986,0.12,1.0,0.215
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","e, sinI",55,18528,28739,36,0.608,0.003,0.604,0.006
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","e, n",91,3727,43540,0,0.921,0.024,1.0,0.047
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","sinI, n",91,1138,46129,0,0.976,0.074,1.0,0.138
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","a, e, sinI",91,3900,43367,0,0.918,0.023,1.0,0.045
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","a, e, n",91,2996,44271,0,0.937,0.029,1.0,0.057
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","a, sinI, n",91,1053,46214,0,0.978,0.08,1.0,0.147
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","e, sinI, n",91,3812,43455,0,0.92,0.023,1.0,0.046
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=1","a, e, sinI, n",91,3052,44215,0,0.936,0.029,1.0,0.056
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2",a,90,465,46802,1,0.99,0.162,0.989,0.279
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2",e,46,17845,29422,45,0.622,0.003,0.505,0.005
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2",sinI,56,19170,28097,35,0.594,0.003,0.615,0.006
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2",n,90,470,46797,1,0.99,0.161,0.989,0.276
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","a, e",91,3616,43651,0,0.924,0.025,1.0,0.048
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","a, sinI",91,834,46433,0,0.982,0.098,1.0,0.179
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","a, n",90,468,46799,1,0.99,0.161,0.989,0.277
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","e, sinI",57,18302,28965,34,0.613,0.003,0.626,0.006
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","e, n",91,3525,43742,0,0.926,0.025,1.0,0.049
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","sinI, n",91,829,46438,0,0.982,0.099,1.0,0.18
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","a, e, sinI",91,3700,43567,0,0.922,0.024,1.0,0.047
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","a, e, n",91,2764,44503,0,0.942,0.032,1.0,0.062
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","a, sinI, n",91,777,46490,0,0.984,0.105,1.0,0.19
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","e, sinI, n",91,3622,43645,0,0.924,0.025,1.0,0.048
99,50,49,47358,91,47267,"kNN, k=3, p=1, w=2","a, e, sinI, n",91,2820,44447,0,0.94,0.031,1.0,0.061
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=1",a,91,666,46601,0,0.986,0.12,1.0,0.215
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=1",e,47,17854,29413,44,0.622,0.003,0.516,0.005
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=1",sinI,52,15577,31690,39,0.67,0.003,0.571,0.007
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=1",n,91,666,46601,0,0.986,0.12,1.0,0.215
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=1","a, e",91,3521,43746,0,0.926,0.025,1.0,0.049
