Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
2225,1,2224,47358,91,47267,"kNN, k=3, p=1",n,89,35,47232,2,0.999,0.718,0.978,0.828
2225,1,2224,47358,91,47267,"kNN, k=3, p=1","a, n",89,35,47232,2,0.999,0.718,0.978,0.828
2225,1,2224,47358,91,47267,"kNN, k=3, p=2",n,89,35,47232,2,0.999,0.718,0.978,0.828
2225,1,2224,47358,91,47267,"kNN, k=3, p=2","a, n",89,35,47232,2,0.999,0.718,0.978,0.828
2225,1,2224,47358,91,47267,"kNN, k=16, p=1",n,89,20,47247,2,1.0,0.817,0.978,0.89
2225,1,2224,47358,91,47267,"kNN, k=16, p=1","a, n",89,21,47246,2,1.0,0.809,0.978,0.886
2225,1,2224,47358,91,47267,"kNN, k=16, p=2",n,89,20,47247,2,1.0,0.817,0.978,0.89
2225,1,2224,47358,91,47267,"kNN, k=16, p=2","a, n",89,21,47246,2,1.0,0.809,0.978,0.886
2357,2,2355,47358,91,47267,"kNN, k=3, p=1",n,89,50,47217,2,0.999,0.64,0.978,0.774
2357,2,2355,47358,91,47267,"kNN, k=3, p=1","a, n",89,50,47217,2,0.999,0.64,0.978,0.774
2357,2,2355,47358,91,47267,"kNN, k=3, p=2",n,89,50,47217,2,0.999,0.64,0.978,0.774
2357,2,2355,47358,91,47267,"kNN, k=3, p=2","a, n",89,50,47217,2,0.999,0.64,0.978,0.774
2357,2,2355,47358,91,47267,"kNN, k=16, p=1",n,89,27,47240,2,0.999,0.767,0.978,0.86
2357,2,2355,47358,91,47267,"kNN, k=16, p=1","a, n",89,27,47240,2,0.999,0.767,0.978,0.86
2357,2,2355,47358,91,47267,"kNN, k=16, p=2",n,89,27,47240,2,0.999,0.767,0.978,0.86
2357,2,2355,47358,91,47267,"kNN, k=16, p=2","a, n",89,27,47240,2,0.999,0.767,0.978,0.86
2507,3,2504,47358,91,47267,"kNN, k=3, p=1",n,89,50,47217,2,0.999,0.64,0.978,0.774
2507,3,2504,47358,91,47267,"kNN, k=3, p=1","a, n",89,50,47217,2,0.999,0.64,0.978,0.774
2507,3,2504,47358,91,47267,"kNN, k=3, p=2",n,89,50,47217,2,0.999,0.64,0.978,0.774
2507,3,2504,47358,91,47267,"kNN, k=3, p=2","a, n",89,50,47217,2,0.999,0.64,0.978,0.774
2507,3,2504,47358,91,47267,"kNN, k=16, p=1",n,89,30,47237,2,0.999,0.748,0.978,0.848
2507,3,2504,47358,91,47267,"kNN, k=16, p=1","a, n",89,30,47237,2,0.999,0.748,0.978,0.848
2507,3,2504,47358,91,47267,"kNN, k=16, p=2",n,89,30,47237,2,0.999,0.748,0.978,0.848
2507,3,2504,47358,91,47267,"kNN, k=16, p=2","a, n",89,30,47237,2,0.999,0.748,0.978,0.848
2904,4,2900,47358,91,47267,"kNN, k=3, p=1",n,87,35,47232,4,0.999,0.713,0.956,0.817
2904,4,2900,47358,91,47267,"kNN, k=3, p=1","a, n",87,39,47228,4,0.999,0.69,0.956,0.802
2904,4,2900,47358,91,47267,"kNN, k=3, p=2",n,87,35,47232,4,0.999,0.713,0.956,0.817
2904,4,2900,47358,91,47267,"kNN, k=3, p=2","a, n",88,39,47228,3,0.999,0.693,0.967,0.807
2904,4,2900,47358,91,47267,"kNN, k=16, p=1",n,87,21,47246,4,0.999,0.806,0.956,0.874
2904,4,2900,47358,91,47267,"kNN, k=16, p=1","a, n",89,27,47240,2,0.999,0.767,0.978,0.86
2904,4,2900,47358,91,47267,"kNN, k=16, p=2",n,87,21,47246,4,0.999,0.806,0.956,0.874
2904,4,2900,47358,91,47267,"kNN, k=16, p=2","a, n",89,29,47238,2,0.999,0.754,0.978,0.852
3132,5,3127,47358,91,47267,"kNN, k=3, p=1",n,87,22,47245,4,0.999,0.798,0.956,0.87
3132,5,3127,47358,91,47267,"kNN, k=3, p=1","a, n",87,26,47241,4,0.999,0.77,0.956,0.853
3132,5,3127,47358,91,47267,"kNN, k=3, p=2",n,87,22,47245,4,0.999,0.798,0.956,0.87
