Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
16330,50,16280,47358,91,47267,"kNN, k=1, p=1, w=1",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=1, w=1","a, n",77,14,47253,14,0.999,0.846,0.846,0.846
16330,50,16280,47358,91,47267,"kNN, k=1, p=1, w=1",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=1, w=2",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=1, w=2","a, n",77,14,47253,14,0.999,0.846,0.846,0.846
16330,50,16280,47358,91,47267,"kNN, k=1, p=1, w=2",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=-1, w=2",n,91,47267,0,0,0.002,0.002,1.0,0.004
16330,50,16280,47358,91,47267,"kNN, k=1, p=-1, w=2","a, n",74,16,47251,17,0.999,0.822,0.813,0.818
16330,50,16280,47358,91,47267,"kNN, k=1, p=-1, w=2",a,91,47267,0,0,0.002,0.002,1.0,0.004
16330,50,16280,47358,91,47267,"kNN, k=1, p=2, w=1",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=2, w=1","a, n",81,15,47252,10,0.999,0.844,0.89,0.866
16330,50,16280,47358,91,47267,"kNN, k=1, p=2, w=1",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=2, w=2",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=2, w=2","a, n",81,15,47252,10,0.999,0.844,0.89,0.866
16330,50,16280,47358,91,47267,"kNN, k=1, p=2, w=2",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=3, w=1",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=3, w=1","a, n",83,15,47252,8,1.0,0.847,0.912,0.878
16330,50,16280,47358,91,47267,"kNN, k=1, p=3, w=1",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=3, w=2",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=1, p=3, w=2","a, n",83,15,47252,8,1.0,0.847,0.912,0.878
16330,50,16280,47358,91,47267,"kNN, k=1, p=3, w=2",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=2, p=1, w=1",n,77,9,47258,14,1.0,0.895,0.846,0.87
16330,50,16280,47358,91,47267,"kNN, k=2, p=1, w=1","a, n",75,12,47255,16,0.999,0.862,0.824,0.843
16330,50,16280,47358,91,47267,"kNN, k=2, p=1, w=1",a,77,14,47253,14,0.999,0.846,0.846,0.846
16330,50,16280,47358,91,47267,"kNN, k=2, p=1, w=2",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=2, p=1, w=2","a, n",77,14,47253,14,0.999,0.846,0.846,0.846
16330,50,16280,47358,91,47267,"kNN, k=2, p=1, w=2",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=2, p=-1, w=2",n,91,47267,0,0,0.002,0.002,1.0,0.004
16330,50,16280,47358,91,47267,"kNN, k=2, p=-1, w=2","a, n",74,16,47251,17,0.999,0.822,0.813,0.818
16330,50,16280,47358,91,47267,"kNN, k=2, p=-1, w=2",a,91,47267,0,0,0.002,0.002,1.0,0.004
16330,50,16280,47358,91,47267,"kNN, k=2, p=2, w=1",n,77,9,47258,14,1.0,0.895,0.846,0.87
16330,50,16280,47358,91,47267,"kNN, k=2, p=2, w=1","a, n",74,12,47255,17,0.999,0.86,0.813,0.836
16330,50,16280,47358,91,47267,"kNN, k=2, p=2, w=1",a,77,14,47253,14,0.999,0.846,0.846,0.846
16330,50,16280,47358,91,47267,"kNN, k=2, p=2, w=2",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=2, p=2, w=2","a, n",81,15,47252,10,0.999,0.844,0.89,0.866
16330,50,16280,47358,91,47267,"kNN, k=2, p=2, w=2",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=2, p=3, w=1",n,77,9,47258,14,1.0,0.895,0.846,0.87
16330,50,16280,47358,91,47267,"kNN, k=2, p=3, w=1","a, n",74,11,47256,17,0.999,0.871,0.813,0.841
16330,50,16280,47358,91,47267,"kNN, k=2, p=3, w=1",a,77,14,47253,14,0.999,0.846,0.846,0.846
16330,50,16280,47358,91,47267,"kNN, k=2, p=3, w=2",n,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=2, p=3, w=2","a, n",83,15,47252,8,1.0,0.847,0.912,0.878
16330,50,16280,47358,91,47267,"kNN, k=2, p=3, w=2",a,82,18,47249,9,0.999,0.82,0.901,0.859
16330,50,16280,47358,91,47267,"kNN, k=3, p=1, w=1",n,87,11,47256,4,1.0,0.888,0.956,0.921
16330,50,16280,47358,91,47267,"kNN, k=3, p=1, w=1","a, n",86,16,47251,5,1.0,0.843,0.945,0.891
16330,50,16280,47358,91,47267,"kNN, k=3, p=1, w=1",a,85,16,47251,6,1.0,0.842,0.934,0.885
16330,50,16280,47358,91,47267,"kNN, k=3, p=1, w=2",n,84,12,47255,7,1.0,0.875,0.923,0.898
16330,50,16280,47358,91,47267,"kNN, k=3, p=1, w=2","a, n",86,16,47251,5,1.0,0.843,0.945,0.891
16330,50,16280,47358,91,47267,"kNN, k=3, p=1, w=2",a,82,17,47250,9,0.999,0.828,0.901,0.863
16330,50,16280,47358,91,47267,"kNN, k=3, p=-1, w=2",n,91,47267,0,0,0.002,0.002,1.0,0.004
16330,50,16280,47358,91,47267,"kNN, k=3, p=-1, w=2","a, n",76,17,47250,15,0.999,0.817,0.835,0.826
16330,50,16280,47358,91,47267,"kNN, k=3, p=-1, w=2",a,91,47267,0,0,0.002,0.002,1.0,0.004
16330,50,16280,47358,91,47267,"kNN, k=3, p=2, w=1",n,87,11,47256,4,1.0,0.888,0.956,0.921
16330,50,16280,47358,91,47267,"kNN, k=3, p=2, w=1","a, n",85,15,47252,6,1.0,0.85,0.934,0.89
16330,50,16280,47358,91,47267,"kNN, k=3, p=2, w=1",a,85,16,47251,6,1.0,0.842,0.934,0.885
16330,50,16280,47358,91,47267,"kNN, k=3, p=2, w=2",n,84,12,47255,7,1.0,0.875,0.923,0.898
16330,50,16280,47358,91,47267,"kNN, k=3, p=2, w=2","a, n",85,15,47252,6,1.0,0.85,0.934,0.89
16330,50,16280,47358,91,47267,"kNN, k=3, p=2, w=2",a,82,17,47250,9,0.999,0.828,0.901,0.863
16330,50,16280,47358,91,47267,"kNN, k=3, p=3, w=1",n,87,11,47256,4,1.0,0.888,0.956,0.921
16330,50,16280,47358,91,47267,"kNN, k=3, p=3, w=1","a, n",85,16,47251,6,1.0,0.842,0.934,0.885
16330,50,16280,47358,91,47267,"kNN, k=3, p=3, w=1",a,85,16,47251,6,1.0,0.842,0.934,0.885
16330,50,16280,47358,91,47267,"kNN, k=3, p=3, w=2",n,84,12,47255,7,1.0,0.875,0.923,0.898
16330,50,16280,47358,91,47267,"kNN, k=3, p=3, w=2","a, n",85,16,47251,6,1.0,0.842,0.934,0.885
16330,50,16280,47358,91,47267,"kNN, k=3, p=3, w=2",a,82,17,47250,9,0.999,0.828,0.901,0.863
16330,50,16280,47358,91,47267,"kNN, k=4, p=1, w=1",n,84,11,47256,7,1.0,0.884,0.923,0.903
16330,50,16280,47358,91,47267,"kNN, k=4, p=1, w=1","a, n",84,9,47258,7,1.0,0.903,0.923,0.913
16330,50,16280,47358,91,47267,"kNN, k=4, p=1, w=1",a,84,8,47259,7,1.0,0.913,0.923,0.918
16330,50,16280,47358,91,47267,"kNN, k=4, p=1, w=2",n,84,12,47255,7,1.0,0.875,0.923,0.898
16330,50,16280,47358,91,47267,"kNN, k=4, p=1, w=2","a, n",86,15,47252,5,1.0,0.851,0.945,0.896
16330,50,16280,47358,91,47267,"kNN, k=4, p=1, w=2",a,82,16,47251,9,0.999,0.837,0.901,0.868
16330,50,16280,47358,91,47267,"kNN, k=4, p=-1, w=2",n,0,0,47267,91,0.998,0.0,0.0,0.0
16330,50,16280,47358,91,47267,"kNN, k=4, p=-1, w=2","a, n",77,16,47251,14,0.999,0.828,0.846,0.837
16330,50,16280,47358,91,47267,"kNN, k=4, p=-1, w=2",a,0,0,47267,91,0.998,0.0,0.0,0.0
16330,50,16280,47358,91,47267,"kNN, k=4, p=2, w=1",n,84,11,47256,7,1.0,0.884,0.923,0.903
