,Rank,Features,Accuracy,Precision,Recall,F1 score,N_neighbors,P,Weights
0,1,n,1.000,0.931,0.976,0.953,28,1,distance
1,2,n,1.000,0.931,0.976,0.953,28,2,distance
2,3,n,1.000,0.931,0.976,0.953,29,1,distance
3,4,n,1.000,0.931,0.976,0.953,29,2,distance
4,5,n,1.000,0.931,0.976,0.953,30,1,distance
5,6,n,1.000,0.931,0.976,0.953,30,2,distance
6,7,n,1.000,0.931,0.976,0.953,31,1,distance
7,8,n,1.000,0.931,0.976,0.953,31,2,distance
8,9,n,1.000,0.931,0.976,0.953,32,1,distance
9,10,n,1.000,0.931,0.976,0.953,32,2,distance
10,11,n,1.000,0.931,0.976,0.953,33,1,distance
11,12,n,1.000,0.931,0.976,0.953,33,2,distance
12,13,n,1.000,0.938,0.968,0.952,26,1,distance
13,14,n,1.000,0.938,0.968,0.952,26,2,distance
14,15,n,1.000,0.952,0.952,0.952,6,1,distance
15,16,n,1.000,0.952,0.952,0.952,6,2,distance
16,17,n,1.000,0.959,0.944,0.951,3,1,uniform
17,18,n,1.000,0.959,0.944,0.951,3,2,uniform
18,19,n,1.000,0.924,0.976,0.949,34,1,distance
19,20,n,1.000,0.924,0.976,0.949,34,2,distance
20,21,n,1.000,0.931,0.968,0.949,27,1,distance
21,22,n,1.000,0.931,0.968,0.949,27,2,distance
22,23,n,1.000,0.938,0.960,0.948,23,1,distance
23,24,n,1.000,0.938,0.960,0.948,23,2,distance
24,25,n,1.000,0.938,0.960,0.948,24,1,distance
25,26,n,1.000,0.938,0.960,0.948,24,2,distance
26,27,n,1.000,0.938,0.960,0.948,25,1,distance
27,28,n,1.000,0.938,0.960,0.948,25,2,distance
28,29,n,1.000,0.944,0.952,0.948,7,1,distance
29,30,n,1.000,0.944,0.952,0.948,7,2,distance
30,31,n,1.000,0.944,0.952,0.948,8,1,distance
31,32,n,1.000,0.944,0.952,0.948,8,2,distance
32,33,n,1.000,0.951,0.944,0.947,5,1,distance
33,34,n,1.000,0.951,0.944,0.947,5,2,distance
34,35,n,1.000,0.952,0.944,0.947,3,1,distance
35,36,n,1.000,0.952,0.944,0.947,3,2,distance
36,37,n,1.000,0.966,0.927,0.946,4,1,uniform
37,38,n,1.000,0.966,0.927,0.946,4,2,uniform
38,39,n,1.000,0.918,0.976,0.946,35,1,distance
39,40,n,1.000,0.918,0.976,0.946,35,2,distance
40,41,n,1.000,0.918,0.976,0.946,36,1,distance
41,42,n,1.000,0.918,0.976,0.946,36,2,distance
42,43,n,1.000,0.918,0.976,0.946,37,1,distance
43,44,n,1.000,0.918,0.976,0.946,37,2,distance
44,45,n,1.000,0.918,0.976,0.946,38,1,distance
45,46,n,1.000,0.918,0.976,0.946,38,2,distance
46,47,n,1.000,0.918,0.976,0.946,39,1,distance
47,48,n,1.000,0.918,0.976,0.946,39,2,distance
48,49,n,1.000,0.918,0.976,0.946,40,1,distance
49,50,n,1.000,0.918,0.976,0.946,40,2,distance
50,51,n,1.000,0.918,0.976,0.946,41,1,distance
51,52,n,1.000,0.918,0.976,0.946,41,2,distance
52,53,n,1.000,0.918,0.976,0.946,42,1,distance
53,54,n,1.000,0.918,0.976,0.946,42,2,distance
54,55,n,1.000,0.918,0.976,0.946,43,1,distance
55,56,n,1.000,0.918,0.976,0.946,43,2,distance
