w,p,Features,f,Rec.,Prec.,F1
0,1,"e, n",None,0.9473,0.8783,0.9115
0,1,n,log2,0.9486,0.8754,0.9106
0,1,n,None,0.9486,0.8754,0.9106
0,1,n,sqrt,0.9486,0.8754,0.9106
0,1,"a, n",sqrt,0.9326,0.8876,0.9094
0,1,"a, n",log2,0.9332,0.8868,0.9093
0,1,"a, n",None,0.9227,0.8961,0.9092
0,1,"a, e, n",None,0.9227,0.8956,0.9089
0,1,a,None,0.9226,0.8949,0.9085
0,1,a,log2,0.9226,0.8949,0.9085
0,1,a,sqrt,0.9226,0.8949,0.9085
0,1,"a, e",None,0.9228,0.8945,0.9084
0,1,"a, n, sinI",None,0.921,0.8956,0.9081
0,1,"a, e, sinI, n",None,0.9208,0.8956,0.9081
0,1,"a, e, sinI",None,0.9207,0.8952,0.9078
0,1,"a, sinI",None,0.9205,0.8952,0.9077
0,1,"sinI, n",None,0.9403,0.8753,0.9065
0,1,"a, e, sinI, n",sqrt,0.9077,0.878,0.8917
0,1,"a, e, sinI, n",log2,0.9054,0.8727,0.8869
0,2,"a, e, sinI, n",None,0.8678,0.9,0.8829
0,2,"a, n, sinI",None,0.8679,0.8998,0.8829
0,3,"a, n, sinI",None,0.8678,0.8998,0.8828
0,3,"a, e, sinI, n",None,0.8679,0.8997,0.8828
0,3,"a, e, sinI",None,0.868,0.8994,0.8827
0,2,"a, e, sinI",None,0.868,0.8994,0.8827
0,2,"a, sinI",None,0.8678,0.8994,0.8826
0,3,"a, sinI",None,0.8678,0.8994,0.8826
0,3,"e, n",None,0.918,0.8531,0.881
0,2,"e, n",None,0.9178,0.8531,0.8809
0,2,n,sqrt,0.9178,0.8509,0.8799
0,2,n,None,0.9178,0.8509,0.8799
0,2,n,log2,0.9178,0.8509,0.8799
0,3,n,log2,0.9178,0.8509,0.8799
0,3,n,sqrt,0.9178,0.8509,0.8799
0,3,n,None,0.9178,0.8509,0.8799
0,3,"sinI, n",None,0.9122,0.8556,0.8796
0,2,"a, n",log2,0.8863,0.877,0.8792
0,2,"sinI, n",None,0.9126,0.8541,0.8789
0,3,"a, n",sqrt,0.893,0.8709,0.8788
0,2,"a, n",sqrt,0.8862,0.8762,0.8786
0,3,"a, e, n",None,0.865,0.8938,0.8784
0,2,"a, e, n",None,0.8658,0.8932,0.8784
0,3,"a, n",None,0.8621,0.8967,0.8783
0,2,"a, n",None,0.8612,0.8965,0.8778
0,3,"a, n",log2,0.8874,0.8736,0.8777
0,3,"a, e",None,0.8645,0.8923,0.8773
0,2,a,None,0.8615,0.8951,0.8772
0,3,a,None,0.8615,0.8951,0.8772
0,2,a,log2,0.8615,0.8951,0.8772
0,3,a,log2,0.8615,0.8951,0.8772
